input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	confers_resistance_to	resistance_to_drug_classes
SRR2938063_40	SRR2938063.fq	erm(33)	AJ313523.1.orf0.gene.p01|FEATURES|erm(33)|macrolide-lincosamide-streptogramin|erm(33)	sarg_db	2.3	AJ313523.1.orf0.gene.p01	ARGs-OAP	2.3	76.09			140	3			11	56									macrolide-lincosamide-streptogramin			ARO:3000599	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_41	SRR2938063.fq	macB	gi|754724054|ref|WP_042095806.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|754724054|ref|WP_042095806.1|	ARGs-OAP	2.3	61.9			127	2			125	166									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_42	SRR2938063.fq	multidrug_ABC_transporter	gi|1032695345|ref|WP_064272854.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1032695345|ref|WP_064272854.1|	ARGs-OAP	2.3	61.7			141	1			505	551									multidrug					
SRR2938063_44	SRR2938063.fq	tetQ	P70882|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	P70882	ARGs-OAP	2.3	100.0			140	3			476	521									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_45	SRR2938063.fq	tetQ	P70882|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	P70882	ARGs-OAP	2.3	100.0			142	2			282	328									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_46	SRR2938063.fq	msrC	gi|488247627|ref|WP_002318835.1||FEATURES|msrC|macrolide-lincosamide-streptogramin|msrC	sarg_db	2.3	gi|488247627|ref|WP_002318835.1|	ARGs-OAP	2.3	65.96			2	142			150	196									macrolide-lincosamide-streptogramin			ARO:3002819	ARO:0000006,ARO:3000584	ARO:0000000,ARO:0000026
SRR2938063_47	SRR2938063.fq	vgaD	GQ205627.2.gene1.p01|FEATURES|vgaD|macrolide-lincosamide-streptogramin|vgaD	sarg_db	2.3	GQ205627.2.gene1.p01	ARGs-OAP	2.3	69.57			4	141			380	425									macrolide-lincosamide-streptogramin			ARO:3002832	ARO:3000674	ARO:0000026
SRR2938063_50	SRR2938063.fq	tetS	L09756.gene.p01|FEATURES|tetS|tetracycline|tetS	sarg_db	2.3	L09756.gene.p01	ARGs-OAP	2.3	82.61			140	3			408	453									tetracycline			ARO:3000192	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_54	SRR2938063.fq	transcriptional regulatory protein CpxR cpxR	CP001485.1.gene721.p01|FEATURES|transcriptional regulatory protein CpxR cpxR|unclassified|transcriptional regulatory protein CpxR cpxR	sarg_db	2.3	CP001485.1.gene721.p01	ARGs-OAP	2.3	63.83			1	141			72	118									unclassified					
SRR2938063_57	SRR2938063.fq	tetZ	AF121000.gene.p01|FEATURES|tetZ|tetracycline|tetZ	sarg_db	2.3	AF121000.gene.p01	ARGs-OAP	2.3	76.09			4	141			2	47									tetracycline			ARO:3000183	ARO:0000051	ARO:3000050
SRR2938063_58	SRR2938063.fq	aph(6)-I	gi|914349733|ref|WP_050583593.1||FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	gi|914349733|ref|WP_050583593.1|	ARGs-OAP	2.3	100.0			141	1			143	189									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_59	SRR2938063.fq	multidrug_ABC_transporter	gi|496018010|ref|WP_008742581.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|496018010|ref|WP_008742581.1|	ARGs-OAP	2.3	60.47			133	5			544	586									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_60	SRR2938063.fq	sul2	gi|499772318|ref|WP_011453052.1||FEATURES|sul2|sulfonamide|sul2	sarg_db	2.3	gi|499772318|ref|WP_011453052.1|	ARGs-OAP	2.3	100.0			141	1			61	107									sulfonamide			ARO:3000412	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_62	SRR2938063.fq	macB	gi|505807117|ref|WP_015704872.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|505807117|ref|WP_015704872.1|	ARGs-OAP	2.3	63.04			3	140			132	177									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_63	SRR2938063.fq	vanY	gi|452996227|gb|AGG19410.1||FEATURES|vanY|vancomycin|vanY	sarg_db	2.3	gi|452996227|gb|AGG19410.1|	ARGs-OAP	2.3	48.94			142	2			194	240									vancomycin			ARO:3002956	ARO:3000081	ARO:3000081
SRR2938063_65	SRR2938063.fq	transcriptional regulatory protein CpxR cpxR	CP001485.1.gene721.p01|FEATURES|transcriptional regulatory protein CpxR cpxR|unclassified|transcriptional regulatory protein CpxR cpxR	sarg_db	2.3	CP001485.1.gene721.p01	ARGs-OAP	2.3	58.54			125	3			71	111									unclassified					
SRR2938063_68	SRR2938063.fq	vanS	gi|196026161|gb|EDX64829.1||FEATURES|vanS|vancomycin|vanS	sarg_db	2.3	gi|196026161|gb|EDX64829.1|	ARGs-OAP	2.3	54.76			130	5			294	335									vancomycin					
SRR2938063_72	SRR2938063.fq	macB	gi|764278838|ref|WP_044327089.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|764278838|ref|WP_044327089.1|	ARGs-OAP	2.3	64.44			1	135			136	180									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_73	SRR2938063.fq	OXA-2	gi|157139469|gb|ABV24340.1||FEATURES|OXA-2|beta-lactam|OXA-2	sarg_db	2.3	gi|157139469|gb|ABV24340.1|	ARGs-OAP	2.3	61.7			141	1			86	132									beta-lactam			ARO:3001397	ARO:0000060,ARO:0000064,ARO:0000073,ARO:3000637	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
SRR2938063_74	SRR2938063.fq	multidrug_ABC_transporter	gi|516001066|ref|WP_017431649.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|516001066|ref|WP_017431649.1|	ARGs-OAP	2.3	63.83			1	141			434	480									multidrug					
SRR2938063_75	SRR2938063.fq	ermC	ACL81266|FEATURES|ermC|macrolide-lincosamide-streptogramin|ermC	sarg_db	2.3	ACL81266	ARGs-OAP	2.3	63.04			140	3			98	143									macrolide-lincosamide-streptogramin			ARO:3000250	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_76	SRR2938063.fq	aph(6)-I	gi|751908677|ref|WP_041124075.1||FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	gi|751908677|ref|WP_041124075.1|	ARGs-OAP	2.3	100.0			2	142			126	172									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_78	SRR2938063.fq	multidrug_ABC_transporter	gi|920543935|ref|WP_052997557.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|920543935|ref|WP_052997557.1|	ARGs-OAP	2.3	63.04			140	3			472	517									multidrug					
SRR2938063_79	SRR2938063.fq	multidrug_ABC_transporter	gi|817122037|ref|WP_046494699.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|817122037|ref|WP_046494699.1|	ARGs-OAP	2.3	61.7			1	141			504	550									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_81	SRR2938063.fq	bcrA	gi|446026113|ref|WP_000103968.1||FEATURES|bcrA|bacitracin|bcrA	sarg_db	2.3	gi|446026113|ref|WP_000103968.1|	ARGs-OAP	2.3	60.47			1	129			23	65									bacitracin			ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_82	SRR2938063.fq	lsa	gi|1043542993|ref|WP_065386235.1||FEATURES|lsa|macrolide-lincosamide-streptogramin|lsa	sarg_db	2.3	gi|1043542993|ref|WP_065386235.1|	ARGs-OAP	2.3	70.73			123	1			415	455									macrolide-lincosamide-streptogramin			ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
SRR2938063_84	SRR2938063.fq	sul1	AY162283.2.gene7.p01|FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	AY162283.2.gene7.p01	ARGs-OAP	2.3	100.0			141	1			130	176									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_85	SRR2938063.fq	vatB	YP_002861121|FEATURES|vatB|macrolide-lincosamide-streptogramin|vatB	sarg_db	2.3	YP_002861121	ARGs-OAP	2.3	86.96			3	140			123	168									macrolide-lincosamide-streptogramin			ARO:3002841	ARO:3000669	ARO:0000026
SRR2938063_89	SRR2938063.fq	vanR	AAK58492|FEATURES|vanR|vancomycin|vanR	sarg_db	2.3	AAK58492	ARGs-OAP	2.3	58.7			138	1			59	104									vancomycin					
SRR2938063_90	SRR2938063.fq	multidrug_ABC_transporter	gi|695842130|ref|WP_032755430.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|695842130|ref|WP_032755430.1|	ARGs-OAP	2.3	62.22			140	6			537	581									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_92	SRR2938063.fq	multidrug_ABC_transporter	gi|655401130|ref|WP_028800283.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|655401130|ref|WP_028800283.1|	ARGs-OAP	2.3	66.67			141	7			493	537									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_94	SRR2938063.fq	tetracycline_resistance_protein	AJ420072.gene.p01|FEATURES|tetracycline_resistance_protein|tetracycline|tetracycline_resistance_protein	sarg_db	2.3	AJ420072.gene.p01	ARGs-OAP	2.3	63.83			1	141			220	266									tetracycline			ARO:3000478	ARO:0000051	ARO:3000050
SRR2938063_95	SRR2938063.fq	sul2	YP_001969930|FEATURES|sul2|sulfonamide|sul2	sarg_db	2.3	YP_001969930	ARGs-OAP	2.3	97.87			141	1			57	103									sulfonamide			ARO:3000412	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_96	SRR2938063.fq	aadA	AB114632.1.gene2.p01|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	AB114632.1.gene2.p01	ARGs-OAP	2.3	100.0			3	140			94	139									aminoglycoside			ARO:3002607	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_97	SRR2938063.fq	multidrug_ABC_transporter	gi|1032695345|ref|WP_064272854.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1032695345|ref|WP_064272854.1|	ARGs-OAP	2.3	70.21			1	141			480	526									multidrug					
SRR2938063_98	SRR2938063.fq	multidrug_ABC_transporter	gi|1032695345|ref|WP_064272854.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1032695345|ref|WP_064272854.1|	ARGs-OAP	2.3	70.21			142	2			481	527									multidrug					
SRR2938063_100	SRR2938063.fq	rosA	YP_001401993|FEATURES|rosA|fosmidomycin|rosA	sarg_db	2.3	YP_001401993	ARGs-OAP	2.3	61.36			134	3			104	147									fosmidomycin			ARO:3003048		
SRR2938063_102	SRR2938063.fq	macB	gi|516510995|ref|WP_017899433.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|516510995|ref|WP_017899433.1|	ARGs-OAP	2.3	72.73			140	9			134	177									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_103	SRR2938063.fq	multidrug_ABC_transporter	gi|537465895|ref|WP_020977391.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|537465895|ref|WP_020977391.1|	ARGs-OAP	2.3	62.22			3	137			452	496									multidrug					
SRR2938063_104	SRR2938063.fq	vatB	U19459.gene.p01|FEATURES|vatB|macrolide-lincosamide-streptogramin|vatB	sarg_db	2.3	U19459.gene.p01	ARGs-OAP	2.3	78.72			141	1			65	111									macrolide-lincosamide-streptogramin			ARO:3002841	ARO:3000669	ARO:0000026
SRR2938063_105	SRR2938063.fq	aadA	YP_002894485|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	YP_002894485	ARGs-OAP	2.3	100.0			142	8			29	73									aminoglycoside			ARO:3004089	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_106	SRR2938063.fq	multidrug_ABC_transporter	gi|496018010|ref|WP_008742581.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|496018010|ref|WP_008742581.1|	ARGs-OAP	2.3	67.39			139	2			543	588									multidrug			ARO:3002522	ARO:3000111	ARO:3000103
SRR2938063_107	SRR2938063.fq	tetQ	P70882|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	P70882	ARGs-OAP	2.3	100.0			2	130			200	242									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_108	SRR2938063.fq	aadA	AB114632.1.gene2.p01|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	AB114632.1.gene2.p01	ARGs-OAP	2.3	97.83			140	3			36	81									aminoglycoside			ARO:3002607	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_109	SRR2938063.fq	multidrug_ABC_transporter	gi|1031799645|ref|WP_064138838.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1031799645|ref|WP_064138838.1|	ARGs-OAP	2.3	70.21			142	2			471	517									multidrug					
SRR2938063_110	SRR2938063.fq	tet36	AJ514254.gene.p01|FEATURES|tet36|tetracycline|tet36	sarg_db	2.3	AJ514254.gene.p01	ARGs-OAP	2.3	100.0			2	142			466	512									tetracycline			ARO:3000197	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_112	SRR2938063.fq	aph(3'')-I	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	AF313472.2.gene15.p01	ARGs-OAP	2.3	97.83			140	3			83	128									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_114	SRR2938063.fq	vatE	AAK91782|FEATURES|vatE|macrolide-lincosamide-streptogramin|vatE	sarg_db	2.3	AAK91782	ARGs-OAP	2.3	63.04			140	3			29	73									macrolide-lincosamide-streptogramin			ARO:3002844	ARO:3000669	ARO:0000026
SRR2938063_116	SRR2938063.fq	bcrA	gi|446026113|ref|WP_000103968.1||FEATURES|bcrA|bacitracin|bcrA	sarg_db	2.3	gi|446026113|ref|WP_000103968.1|	ARGs-OAP	2.3	60.87			2	139			134	179									bacitracin			ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
