# argNorm version: 1.1.0
input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_sequence_id	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
combo_contig_fasta_out	air	inverse autotransporter adhesin EaeX/Air	NCBI Reference Gene Database	db_v_1	CBG36838.1	amrfinderplus	tool_v_1	89.52	NODE_215_length_58044_cov_65.929935			47632.0	57990.0					+		90.73			3806.0		3453.0						Manual				
combo_contig_fasta_out	amvA	multidrug efflux MFS transporter AmvA	NCBI Reference Gene Database	db_v_1	ACQ82816.1	amrfinderplus	tool_v_1	98.98	NODE_100_length_107249_cov_63.352893			20344.0	21819.0					+		100.0			492.0		492.0	EFFLUX	EFFLUX		ARO:3004577	Acinetobacter baumannii AmvA	Perfect	ARO:0000006,ARO:0000045	erythromycin,acriflavine	ARO:0000000,ARO:3005386	macrolide antibiotic,disinfecting agents and antiseptics
combo_contig_fasta_out	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NCBI Reference Gene Database	db_v_1	WP_000381802.1	amrfinderplus	tool_v_1	100.0	NODE_1099_length_776_cov_58.104022			186.0	716.0					-		100.0			177.0		177.0	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN		ARO:3000230	ANT(2'')-Ia	Strict	ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3007382	dibekacin,sisomicin,kanamycin A,tobramycin,gentamicin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NCBI Reference Gene Database	db_v_1	WP_001279062.1	amrfinderplus	tool_v_1	98.85	NODE_77_length_132322_cov_63.344099			95507.0	96292.0					+		100.0			262.0		262.0	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN		ARO:3004089	ANT(3'')-IIa	Strict	ARO:0000039,ARO:0000040	spectinomycin,streptomycin	ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NCBI Reference Gene Database	db_v_1	WP_001255866.1	amrfinderplus	tool_v_1	99.53	NODE_758_length_3197_cov_63.627307			137.0	769.0					+		69.87			302.0		211.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002628	aad(6)	Strict	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
combo_contig_fasta_out	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	NCBI Reference Gene Database	db_v_1	WP_109545041.1	amrfinderplus	tool_v_1	100.0	NODE_910_length_1699_cov_115.144161			867.0	1691.0					-		100.0			275.0		275.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002639	APH(3'')-Ib	Strict	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
combo_contig_fasta_out	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	NCBI Reference Gene Database	db_v_1	WP_001096887.1	amrfinderplus	tool_v_1	100.0	NODE_758_length_3197_cov_63.627307			1392.0	2183.0					+		100.0			264.0		264.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN		ARO:3002647	APH(3')-IIIa	Strict	ARO:0000005,ARO:0000013,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000652,ARO:3000655,ARO:3000657,ARO:3000658	neomycin,amikacin,ribostamycin,butirosin,kanamycin A,isepamicin,gentamicin B,paromomycin,lividomycin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	NCBI Reference Gene Database	db_v_1	WP_003113011.1	amrfinderplus	tool_v_1	99.25	NODE_27_length_210538_cov_63.527487			106092.0	106895.0					+		100.0			268.0		268.0	AMINOGLYCOSIDE	KANAMYCIN		ARO:3002645	APH(3')-IIb	Perfect	ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657	neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	NCBI Reference Gene Database	db_v_1	WP_000018326.1	amrfinderplus	tool_v_1	100.0	NODE_1074_length_880_cov_188.310303			2.0	814.0					-		100.0			271.0		271.0	AMINOGLYCOSIDE	KANAMYCIN		ARO:3002641	APH(3')-Ia	Strict	ARO:0000005,ARO:0000021,ARO:0000049,ARO:3000655,ARO:3000657,ARO:3000658	neomycin,ribostamycin,kanamycin A,gentamicin B,paromomycin,lividomycin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aph(3')-VIb	aminoglycoside O-phosphotransferase APH(3')-VIb	NCBI Reference Gene Database	db_v_1	WP_000422633.1	amrfinderplus	tool_v_1	96.91	NODE_380_length_28321_cov_63.171443			1850.0	2626.0					+		100.0			259.0		259.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN		ARO:3002653	APH(3')-VIb	Perfect	ARO:0000005,ARO:0000013,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000652,ARO:3000655,ARO:3000657	neomycin,amikacin,ribostamycin,butirosin,kanamycin A,isepamicin,gentamicin B,paromomycin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	NCBI Reference Gene Database	db_v_1	WP_000480968.1	amrfinderplus	tool_v_1	100.0	NODE_910_length_1699_cov_115.144161			31.0	864.0					-		100.0			278.0		278.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002660	APH(6)-Id	Strict	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
combo_contig_fasta_out	arsA	arsenite efflux transporter ATPase subunit ArsA	NCBI Reference Gene Database	db_v_1	BAA24822.1	amrfinderplus	tool_v_1	95.37	NODE_110_length_101782_cov_63.781376			69683.0	71431.0					+		100.0			583.0		583.0	ARSENIC	ARSENITE		ARO:3003033	mexY	Loose	ARO:0000006,ARO:0000013,ARO:0000014,ARO:0000032,ARO:0000036,ARO:0000045,ARO:0000051,ARO:0000052,ARO:0000073,ARO:3000008,ARO:3000385,ARO:3000654,ARO:3000662,ARO:3000663	erythromycin,amikacin,gentamicin C,cephalosporin,ciprofloxacin,acriflavine,tetracycline,tobramycin,meropenem,penicillin beta-lactam,chloramphenicol,arbekacin,norfloxacin,ofloxacin	ARO:0000000,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000387,ARO:3005386	macrolide antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,phenicol antibiotic,disinfecting agents and antiseptics
combo_contig_fasta_out	arsA	arsenite efflux transporter ATPase subunit ArsA	NCBI Reference Gene Database	db_v_1	AAA21094.1	amrfinderplus	tool_v_1	94.85	NODE_9_length_395280_cov_63.429755			311479.0	313227.0					+		100.0			583.0		583.0	ARSENIC	ARSENITE		ARO:3003033	mexY	Loose	ARO:0000006,ARO:0000013,ARO:0000014,ARO:0000032,ARO:0000036,ARO:0000045,ARO:0000051,ARO:0000052,ARO:0000073,ARO:3000008,ARO:3000385,ARO:3000654,ARO:3000662,ARO:3000663	erythromycin,amikacin,gentamicin C,cephalosporin,ciprofloxacin,acriflavine,tetracycline,tobramycin,meropenem,penicillin beta-lactam,chloramphenicol,arbekacin,norfloxacin,ofloxacin	ARO:0000000,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000387,ARO:3005386	macrolide antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,phenicol antibiotic,disinfecting agents and antiseptics
combo_contig_fasta_out	arsB	arsenite efflux transporter membrane subunit ArsB	NCBI Reference Gene Database	db_v_1	BAA24823.1	amrfinderplus	tool_v_1	97.9	NODE_110_length_101782_cov_63.781376			71481.0	72767.0					+		100.0			429.0		429.0	ARSENIC	ARSENITE				Manual				
combo_contig_fasta_out	arsB	arsenite efflux transporter membrane subunit ArsB	NCBI Reference Gene Database	db_v_1	BAA24823.1	amrfinderplus	tool_v_1	97.9	NODE_502_length_15261_cov_64.063330			2820.0	4106.0					+		100.0			429.0		429.0	ARSENIC	ARSENITE				Manual				
combo_contig_fasta_out	arsB	arsenite efflux transporter membrane subunit ArsB	NCBI Reference Gene Database	db_v_1	AAA21095.1	amrfinderplus	tool_v_1	96.27	NODE_9_length_395280_cov_63.429755			313278.0	314564.0					+		100.0			429.0		429.0	ARSENIC	ARSENITE				Manual				
combo_contig_fasta_out	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	db_v_1	AAB09628.1	amrfinderplus	tool_v_1	94.33	NODE_110_length_101782_cov_63.781376			72783.0	73205.0					+		100.0			141.0		141.0	ARSENIC	ARSENATE		ARO:3003730	Bifidobacterium bifidum ileS conferring resistance to mupirocin	Loose	ARO:3000554	mupirocin	ARO:3007151	mupirocin-like antibiotic
combo_contig_fasta_out	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	db_v_1	AAA21096.1	amrfinderplus	tool_v_1	93.62	NODE_238_length_50515_cov_64.228260			25178.0	25600.0					+		100.0			141.0		141.0	ARSENIC	ARSENATE		ARO:3003730	Bifidobacterium bifidum ileS conferring resistance to mupirocin	Loose	ARO:3000554	mupirocin	ARO:3007151	mupirocin-like antibiotic
combo_contig_fasta_out	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	db_v_1	AAB09628.1	amrfinderplus	tool_v_1	96.45	NODE_502_length_15261_cov_64.063330			4122.0	4544.0					+		100.0			141.0		141.0	ARSENIC	ARSENATE		ARO:3003730	Bifidobacterium bifidum ileS conferring resistance to mupirocin	Loose	ARO:3000554	mupirocin	ARO:3007151	mupirocin-like antibiotic
combo_contig_fasta_out	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	db_v_1	AAA21096.1	amrfinderplus	tool_v_1	90.0	NODE_612_length_7189_cov_128.721054			2799.0	3218.0					-		99.29			141.0		140.0	ARSENIC	ARSENATE		ARO:3003730	Bifidobacterium bifidum ileS conferring resistance to mupirocin	Loose	ARO:3000554	mupirocin	ARO:3007151	mupirocin-like antibiotic
combo_contig_fasta_out	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	db_v_1	BAA24824.1	amrfinderplus	tool_v_1	95.04	NODE_9_length_395280_cov_63.429755			314580.0	315002.0					+		100.0			141.0		141.0	ARSENIC	ARSENATE		ARO:3003730	Bifidobacterium bifidum ileS conferring resistance to mupirocin	Loose	ARO:3000554	mupirocin	ARO:3007151	mupirocin-like antibiotic
combo_contig_fasta_out	arsD	arsenite efflux transporter metallochaperone ArsD	NCBI Reference Gene Database	db_v_1	AAB09625.1	amrfinderplus	tool_v_1	92.5	NODE_110_length_101782_cov_63.781376			69304.0	69663.0					+		100.0			120.0		120.0	ARSENIC	ARSENITE		ARO:3004581	tet(48)	Loose	ARO:0000051,ARO:3000668	tetracycline,oxytetracycline	ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic
combo_contig_fasta_out	arsD	arsenite efflux transporter metallochaperone ArsD	NCBI Reference Gene Database	db_v_1	AAB09625.1	amrfinderplus	tool_v_1	90.83	NODE_502_length_15261_cov_64.063330			644.0	1003.0					+		100.0			120.0		120.0	ARSENIC	ARSENITE		ARO:3004581	tet(48)	Loose	ARO:0000051,ARO:3000668	tetracycline,oxytetracycline	ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic
combo_contig_fasta_out	arsD	arsenite efflux transporter metallochaperone ArsD	NCBI Reference Gene Database	db_v_1	AAA93060.1	amrfinderplus	tool_v_1	95.0	NODE_9_length_395280_cov_63.429755			311099.0	311458.0					+		100.0			120.0		120.0	ARSENIC	ARSENITE		ARO:3004581	tet(48)	Loose	ARO:0000051,ARO:3000668	tetracycline,oxytetracycline	ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic
combo_contig_fasta_out	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	db_v_1	AET17094.1	amrfinderplus	tool_v_1	93.97	NODE_110_length_101782_cov_63.781376			68906.0	69253.0					+		100.0			116.0		116.0						Manual				
combo_contig_fasta_out	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	db_v_1	BAE77793.1	amrfinderplus	tool_v_1	95.73	NODE_238_length_50515_cov_64.228260			23468.0	23818.0					+		100.0			117.0		117.0						Manual				
combo_contig_fasta_out	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	db_v_1	AAB09624.1	amrfinderplus	tool_v_1	95.73	NODE_502_length_15261_cov_64.063330			243.0	593.0					+		100.0			117.0		117.0						Manual				
combo_contig_fasta_out	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	db_v_1	AAB09624.1	amrfinderplus	tool_v_1	94.02	NODE_9_length_395280_cov_63.429755			310699.0	311049.0					+		100.0			117.0		117.0						Manual				
combo_contig_fasta_out	asr	acid resistance repetitive basic protein Asr	NCBI Reference Gene Database	db_v_1	BAA15331.2	amrfinderplus	tool_v_1	98.04	NODE_105_length_104531_cov_63.826745			85557.0	85862.0					-		100.0			102.0		102.0				ARO:3002983	amrB	Loose	ARO:0000052,ARO:3000158	tobramycin,azithromycin	ARO:0000000,ARO:0000016	macrolide antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	blaACT-25	cephalosporin-hydrolyzing class C beta-lactamase ACT-25	NCBI Reference Gene Database	db_v_1	WP_045351092.1	amrfinderplus	tool_v_1	100.0	NODE_337_length_34911_cov_69.401681			13696.0	14838.0					+		100.0			381.0		381.0	BETA-LACTAM	CEPHALOSPORIN		ARO:3001845	ACT-25	Perfect	ARO:0000020,ARO:0000032,ARO:3000008	carbapenem,cephalosporin,penicillin beta-lactam	ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	blaADC-11	class C extended-spectrum beta-lactamase ADC-11	NCBI Reference Gene Database	db_v_1	WP_001211205.1	amrfinderplus	tool_v_1	100.0	NODE_700_length_4415_cov_63.186009			3257.0	4405.0					-		100.0			383.0		383.0	BETA-LACTAM	CEPHALOSPORIN								
combo_contig_fasta_out	blaCMY-48	class C beta-lactamase CMY-48	NCBI Reference Gene Database	db_v_1	WP_044699195.1	amrfinderplus	tool_v_1	100.0	NODE_441_length_21507_cov_65.008624			13755.0	14897.0					+		100.0			381.0		381.0	BETA-LACTAM	CEPHALOSPORIN		ARO:3002059	CMY-48	Perfect	ARO:3009106	second-generation cephalosporin	ARO:3000007	beta-lactam antibiotic
combo_contig_fasta_out	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	NCBI Reference Gene Database	db_v_1	WP_000239590.1	amrfinderplus	tool_v_1	100.0	NODE_959_length_1425_cov_127.207299			450.0	1322.0					-		100.0			291.0		291.0	BETA-LACTAM	CEPHALOSPORIN								
combo_contig_fasta_out	blaEC	BlaEC family class C beta-lactamase	NCBI Reference Gene Database	db_v_1	WP_063860454.1	amrfinderplus	tool_v_1	98.14	NODE_503_length_15196_cov_66.014662			12939.0	14069.0					+		100.0			377.0		377.0	BETA-LACTAM	BETA-LACTAM		ARO:3006881	EC-8	Strict	ARO:0000032	cephalosporin	ARO:3000007	beta-lactam antibiotic
combo_contig_fasta_out	blaI	penicillinase repressor BlaI	NCBI Reference Gene Database	db_v_1	WP_001284656.1	amrfinderplus	tool_v_1	98.41	NODE_734_length_3584_cov_62.830264			1536.0	1913.0					-		100.0			126.0		126.0	BETA-LACTAM	BETA-LACTAM		ARO:3000124	mecI	Loose	ARO:0000015,ARO:3000008	methicillin,penicillin beta-lactam	ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	NCBI Reference Gene Database	db_v_1	WP_004152396.1	amrfinderplus	tool_v_1	100.0	NODE_571_length_10008_cov_124.619512			1928.0	2806.0					-		100.0			293.0		293.0	BETA-LACTAM	CARBAPENEM		ARO:3002313	KPC-3	Perfect	ARO:0000004,ARO:0000020,ARO:0000032,ARO:3000008	monobactam,carbapenem,cephalosporin,penicillin beta-lactam	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	blaNDM-4	subclass B1 metallo-beta-lactamase NDM-4	NCBI Reference Gene Database	db_v_1	WP_063860861.1	amrfinderplus	tool_v_1	100.0	NODE_765_length_3143_cov_128.069301			2138.0	2947.0					-		100.0			270.0		270.0	BETA-LACTAM	CARBAPENEM		ARO:3002355	NDM-4	Perfect	ARO:0000020,ARO:0000032,ARO:3000008,ARO:3003832	carbapenem,cephalosporin,penicillin beta-lactam,ticarcillin	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	blaOXA	class D beta-lactamase	NCBI Reference Gene Database	db_v_1	WP_000722315.1	amrfinderplus	tool_v_1	99.64	NODE_981_length_1298_cov_145.691070			257.0	1078.0					-		100.0			274.0		274.0	BETA-LACTAM	BETA-LACTAM								
combo_contig_fasta_out	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	NCBI Reference Gene Database	db_v_1	WP_001334766.1	amrfinderplus	tool_v_1	100.0	NODE_933_length_1586_cov_126.278903			636.0	1463.0					-		100.0			276.0		276.0	BETA-LACTAM	CEPHALOSPORIN		ARO:3001396	OXA-1	Perfect	ARO:0000032,ARO:0000056,ARO:0000064,ARO:0000078,ARO:3000008,ARO:3000637,ARO:3000704	cephalosporin,oxacillin,amoxicillin,piperacillin,penicillin beta-lactam,ampicillin,cefalotin	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	blaOXA-48	carbapenem-hydrolyzing class D beta-lactamase OXA-48	NCBI Reference Gene Database	db_v_1	WP_015059991.1	amrfinderplus	tool_v_1	100.0	NODE_853_length_2231_cov_59.943570			1412.0	2206.0					-		100.0			265.0		265.0	BETA-LACTAM	CARBAPENEM								
