Original ID	argNorm drug classes	Original Drug Classes	Hit type	Status	Description
YP_002240485|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW04
YP_401803|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW05
YP_002203876|FEATURES|tcmA|tetracenomycin_C|tcmA	['fluoroquinolone antibiotic']	tetracenomycin_C	Loose	3003554	tcmA is actually a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:489824637:ref:WP_003728417.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	['beta-lactam antibiotic']	unclassified	Loose	3000025	
BAH61691|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW05
gi:447201645:ref:WP_001278901.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:499731375:ref:WP_011412109.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
gi:1006756370:ref:WP_061823690.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
YP_001454848|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:446114283:ref:WP_000192138.1:|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	unclassified	Strict	correct	
gi:447201641:ref:WP_001278897.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
CP000308.1.gene1582.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic']	unclassified	Loose	correct	
gi:835822517:ref:WP_047669155.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
NC_011035.1.6447920.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	['phenicol antibiotic']	unclassified	Loose	correct	
gi:835804111:ref:WP_047662791.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
AAP92507|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Strict	correct	
ZP_00990220|FEATURES|tet34|tetracycline|tet34	['macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
ABH08225|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
gi:672836786:gb:KFH80994.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:447113803:ref:WP_001191059.1:|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Perfect	correct	
gi:657343292:ref:WP_029402253.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
P42670|FEATURES|puromycin_resistance_protein|nucleoside|puromycin_resistance_protein	['elfamycin antibiotic']	nucleoside	Loose	incorrect	
gi:485871715:ref:WP_001468640.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:664302674:ref:WP_030832078.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Loose	correct	
P33810|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
gi:693209755:ref:WP_032328790.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:446164903:ref:WP_000242758.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
gi:446993874:ref:WP_001071130.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:447201625:ref:WP_001278881.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
Q83MG8|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:446993886:ref:WP_001071142.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1005569653:ref:WP_061663029.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	['beta-lactam antibiotic']	unclassified	Loose	3000025	
gi:447201627:ref:WP_001278883.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
CAD90667|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
gi:219563184:gb:ACL27951.1:|FEATURES|16S_rRNA_methylase|unclassified|16S_rRNA_methylase	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	unclassified	Strict	correct	
NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	unclassified	Loose	correct	
ZP_04606269|FEATURES|thiostrepton_resistance_methylase_tsnR|unclassified|thiostrepton_resistance_methylase_tsnR	['peptide antibiotic']	unclassified	Loose	correct	
gi:928802369:ref:WP_053873214.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:663341660:ref:WP_030340787.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Strict	correct	
gi:663147958:ref:WP_030188010.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Strict	correct	
gi:1006153492:ref:WP_061733756.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:686133171:ref:WP_031774173.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1006809738:ref:WP_061824445.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
NC_002695.1.913113.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic']	unclassified	Perfect	correct	
Q7N8V7|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:446993909:ref:WP_001071165.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
HQ451074.1.gene23.p01|FEATURES|16S_rRNA_methylase|unclassified|16S_rRNA_methylase	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	unclassified	Perfect	correct	
gi:916211506:ref:WP_050969978.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
NC_002695.1.915747.p01|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
B6HZ32|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
AB158573.gene.p01|FEATURES|rpsD_(ramA_or_sud2)|unclassified|rpsD_(ramA_or_sud2)	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'diaminopyrimidine antibiotic', 'phenicol antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	unclassified	Loose	incorrect	https://febs.onlinelibrary.wiley.com/doi/10.1111/j.1742-4658.2005.04721.x
ZP_04466634|FEATURES|PBP-1A|beta-lactam|PBP-1A	['glycopeptide antibiotic']	beta-lactam	Loose	3000001	
gi:491533320:ref:WP_005390943.1:|FEATURES|tetB|tetracycline|tetB	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	tetracycline	Loose	3000166	
gi:447113814:ref:WP_001191070.1:|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
YP_001290033|FEATURES|PBP-1A|beta-lactam|PBP-1A	['glycopeptide antibiotic']	beta-lactam	Loose	3000001	
gi:1005555254:ref:WP_061653404.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1006147757:ref:WP_061732287.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
ZP_00156276|FEATURES|PBP-1A|beta-lactam|PBP-1A	['glycopeptide antibiotic']	beta-lactam	Loose	3000001	
gi:446164891:ref:WP_000242746.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
CP000034.1.gene4477.p01|FEATURES|bacterial_regulatory_protein_LuxR|unclassified|bacterial_regulatory_protein_LuxR	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic']	unclassified	Perfect	correct	http://bacmet.biomedicine.gu.se/advanced_BacMet_EXP_connect_to_ALL.pl?gene=evgA
gi:446164906:ref:WP_000242761.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
gi:926287601:ref:WP_053624488.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Strict	correct	
gi:664192077:ref:WP_030725808.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase	['peptide antibiotic']	aminoglycoside	Strict	correct	
gi:447201651:ref:WP_001278907.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
YP_002113107|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
P43433|FEATURES|mycinamicin-resistance_protein_myrB|unclassified|mycinamicin-resistance_protein_myrB	['macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	unclassified	Perfect	correct	
YP_002181880|FEATURES|tcmA|tetracenomycin_C|tcmA	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	tetracenomycin_C	Loose	3003554	tcmA is actually a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:1006152247:ref:WP_061733462.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1007064214:ref:WP_061839264.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
BAB59035|FEATURES|tet34|tetracycline|tet34	['beta-lactam antibiotic', 'beta-lactam antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:486160987:ref:WP_001524598.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:446993897:ref:WP_001071153.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
AAB17875|FEATURES|thiostrepton_resistance_methylase_tsnR|unclassified|thiostrepton_resistance_methylase_tsnR	['peptide antibiotic']	unclassified	Loose	correct	
gi:498913343:ref:WP_010848517.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
YP_002666586|FEATURES|tet34|tetracycline|tet34	['macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	tetracycline	Loose	3002870	tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:488141089:ref:WP_002212297.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Strict	correct	
NP_733568|FEATURES|tcmA|tetracenomycin_C|tcmA	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	tetracenomycin_C	Loose	3003554	
YP_001461223|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	['beta-lactam antibiotic']	glycopeptide	Loose	3000071	
gi:835704930:ref:WP_047624280.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:1006178758:ref:WP_061739947.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
YP_001439344|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:489827925:ref:WP_003731686.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	['beta-lactam antibiotic']	unclassified	Loose	3000025	
gi:928778382:ref:WP_053860941.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:446993885:ref:WP_001071141.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
AAS49820|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	rifamycin	Loose	3000507	
