input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.027_091_653.ARR	GMGC10.95nr_block_0006	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	82.37			1	346					+		80.09						RIFAMYCIN		
GMGC10.027_153_359.BMUL_6154	GMGC10.95nr_block_0006	ble_Tn5	bleomycin binding protein BLMT	ncbi	2021-Mar-27	NG_047555.1	abricate	abricate 1.0.1	94.18			1	361					+		94.75						BLEOMYCIN		
GMGC10.027_903_651.COPY	GMGC10.95nr_block_0006	mecI_of_mecC	mecC-type methicillin resistance repressor MecI	ncbi	2021-Mar-27	NG_050586.1	abricate	abricate 1.0.1	95.65			1	368					+		98.13						METHICILLIN		
GMGC10.028_103_887.FOSB	GMGC10.95nr_block_0006	fos_related	Fos family putative thiol transferase	ncbi	2021-Mar-27	NG_050598.1	abricate	abricate 1.0.1	91.28			1	390					+		100.0						FOSFOMYCIN		
GMGC10.033_293_692.ARR	GMGC10.95nr_block_0006	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	80.83			7	392					+		89.35						RIFAMYCIN		
GMGC10.038_883_974.AACA7	GMGC10.95nr_block_0006	aac(6')-29a	aminoglycoside N-acetyltransferase AAC(6')-29a	ncbi	2021-Mar-27	NG_048575.1	abricate	abricate 1.0.1	100.0			1	381					+		94.78						AMINOGLYCOSIDE		
GMGC10.044_178_784.FOSB	GMGC10.95nr_block_0006	fos_related	Fos family putative thiol transferase	ncbi	2021-Mar-27	NG_050598.1	abricate	abricate 1.0.1	90.46			1	388					+		99.49						FOSFOMYCIN		
GMGC10.002_270_731.ARR	GMGC10.95nr_block_0007	arr-269927220	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047480.1	abricate	abricate 1.0.1	100.0			1	414					+		100.0						RIFAMYCIN		
GMGC10.002_430_984.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	99.28			1	417					+		100.0						FOSFOMYCIN		
GMGC10.002_455_792.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	87.22			1	399					+		100.0						FOSFOMYCIN		
GMGC10.003_097_321.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	93.73			1	399					+		100.0						FOSFOMYCIN		
GMGC10.004_451_260.BLAI	GMGC10.95nr_block_0007	blaI_of_Z	penicillinase repressor BlaI	ncbi	2021-Mar-27	NG_047499.1	abricate	abricate 1.0.1	87.41			1	405					+		100.0						BETA-LACTAM		
GMGC10.005_185_692.FOSX	GMGC10.95nr_block_0007	fosE	fosfomycin resistance thiol transferase FosE	ncbi	2021-Mar-27	NG_047893.1	abricate	abricate 1.0.1	100.0			1	405					+		100.0						FOSFOMYCIN		
GMGC10.007_884_757.FOSB	GMGC10.95nr_block_0007	fosBx1	fosfomycin resistance bacillithiol transferase FosBx1	ncbi	2021-Mar-27	NG_050591.1	abricate	abricate 1.0.1	81.62			13	420					+		97.84						FOSFOMYCIN		
GMGC10.008_803_393.FOSB	GMGC10.95nr_block_0007	fosA7.2	fosfomycin resistance glutathione transferase FosA7.2	ncbi	2021-Mar-27	NG_067228.1	abricate	abricate 1.0.1	94.33			1	423					+		100.0						FOSFOMYCIN		
GMGC10.008_882_788.FOSB	GMGC10.95nr_block_0007	fosA7.7	fosfomycin resistance glutathione transferase FosA7.7	ncbi	2021-Mar-27	NG_067233.1	abricate	abricate 1.0.1	100.0			1	423					+		100.0						FOSFOMYCIN		
GMGC10.009_451_694.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_055654.1	abricate	abricate 1.0.1	88.81			1	402					+		100.0						FOSFOMYCIN		
GMGC10.009_552_105.FOSB	GMGC10.95nr_block_0007	fosA2	fosfomycin resistance glutathione transferase FosA2	ncbi	2021-Mar-27	NG_050406.1	abricate	abricate 1.0.1	86.03			2	408					+		95.31						FOSFOMYCIN		
GMGC10.010_904_087.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	83.96			1	399					+		100.0						FOSFOMYCIN		
GMGC10.011_213_333.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	83.71			1	399					+		100.0						FOSFOMYCIN		
GMGC10.012_391_566.FOSB	GMGC10.95nr_block_0007	fos-Crono	FosA family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_051888.1	abricate	abricate 1.0.1	87.44			1	406					+		99.51						FOSFOMYCIN		
GMGC10.015_107_117.FOSB	GMGC10.95nr_block_0007	fosBx1	fosfomycin resistance bacillithiol transferase FosBx1	ncbi	2021-Mar-27	NG_050591.1	abricate	abricate 1.0.1	80.77			1	416					+		99.76						FOSFOMYCIN		
GMGC10.015_230_420.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_055654.1	abricate	abricate 1.0.1	89.3			1	402					+		100.0						FOSFOMYCIN		
GMGC10.015_937_485.FOSB	GMGC10.95nr_block_0007	fosA7.4	fosfomycin resistance glutathione transferase FosA7.4	ncbi	2021-Mar-27	NG_067230.1	abricate	abricate 1.0.1	91.02			1	423					+		100.0						FOSFOMYCIN		
GMGC10.016_397_246.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	88.22			1	416					+		99.76						FOSFOMYCIN		
GMGC10.016_806_844.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	80.2			1	399					+		100.0						FOSFOMYCIN		
GMGC10.017_524_248.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	84.94			2	406					+		97.12						FOSFOMYCIN		
GMGC10.017_551_368.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	87.74			1	416					+		99.76						FOSFOMYCIN		
GMGC10.017_562_382.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	88.43			2	416					+		99.52						FOSFOMYCIN		
GMGC10.017_978_399.FOSB	GMGC10.95nr_block_0007	fosA	fosfomycin resistance glutathione transferase FosA	ncbi	2021-Mar-27	NG_050405.1	abricate	abricate 1.0.1	88.31			1	402					+		94.37						FOSFOMYCIN		
GMGC10.018_851_790.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	87.5			2	417					+		99.76						FOSFOMYCIN		
GMGC10.019_007_190.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	90.48			1	399					+		100.0						FOSFOMYCIN		
GMGC10.019_007_585.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	80.2			1	399					+		100.0						FOSFOMYCIN		
GMGC10.019_522_332.FOSA	GMGC10.95nr_block_0007	fosB2	fosfomycin resistance bacillithiol transferase FosB2	ncbi	2021-Mar-27	NG_050411.1	abricate	abricate 1.0.1	94.29			1	420					+		100.0						FOSFOMYCIN		
GMGC10.019_525_067.FOSB	GMGC10.95nr_block_0007	fosB-38141535	FosB family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_047887.1	abricate	abricate 1.0.1	97.09			6	417					+		98.8						FOSFOMYCIN		
GMGC10.019_533_820.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	86.78			1	416					+		99.76						FOSFOMYCIN		
GMGC10.019_535_820.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	87.98			1	416					+		99.76						FOSFOMYCIN		
GMGC10.019_541_157.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	89.4			2	416					+		99.52						FOSFOMYCIN		
GMGC10.019_554_574.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	88.43			2	416					+		99.52						FOSFOMYCIN		
GMGC10.022_744_970.FOSB	GMGC10.95nr_block_0007	fosA7.2	fosfomycin resistance glutathione transferase FosA7.2	ncbi	2021-Mar-27	NG_067228.1	abricate	abricate 1.0.1	91.73			1	423					+		100.0						FOSFOMYCIN		
GMGC10.023_252_132.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	87.5			1	416					+		99.76						FOSFOMYCIN		
GMGC10.023_371_933.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	83.71			13	411					+		100.0						FOSFOMYCIN		
GMGC10.023_836_016.FOSB	GMGC10.95nr_block_0007	fosA4	fosfomycin resistance glutathione transferase FosA4	ncbi	2021-Mar-27	NG_050408.1	abricate	abricate 1.0.1	94.96			1	417					+		100.0						FOSFOMYCIN		
GMGC10.024_660_118.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_047899.1	abricate	abricate 1.0.1	96.52			1	402					+		100.0						FOSFOMYCIN		
GMGC10.024_662_587.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_055654.1	abricate	abricate 1.0.1	99.75			1	402					+		100.0						FOSFOMYCIN		
GMGC10.024_779_084.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	95.99			1	399					+		100.0						FOSFOMYCIN		
GMGC10.024_945_870.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_047899.1	abricate	abricate 1.0.1	94.03			1	402					+		100.0						FOSFOMYCIN		
GMGC10.025_001_212.FOSB	GMGC10.95nr_block_0007	fosBx1	fosfomycin resistance bacillithiol transferase FosBx1	ncbi	2021-Mar-27	NG_050591.1	abricate	abricate 1.0.1	86.33			1	417					+		100.0						FOSFOMYCIN		
GMGC10.025_045_660.FOSB	GMGC10.95nr_block_0007	fosX	fosfomycin resistance thiol transferase FosX	ncbi	2021-Mar-27	NG_055654.1	abricate	abricate 1.0.1	89.06			1	402					+		100.0						FOSFOMYCIN		
GMGC10.025_437_586.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	97.84			1	417					+		100.0						FOSFOMYCIN		
GMGC10.025_438_403.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	87.98			1	416					+		99.76						FOSFOMYCIN		
GMGC10.025_442_080.FOSB	GMGC10.95nr_block_0007	fosBx1	fosfomycin resistance bacillithiol transferase FosBx1	ncbi	2021-Mar-27	NG_050591.1	abricate	abricate 1.0.1	89.42			1	416					+		99.76						FOSFOMYCIN		
GMGC10.025_520_041.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	97.24			1	399					+		100.0						FOSFOMYCIN		
GMGC10.026_525_198.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	80.75			19	418					+		95.92						FOSFOMYCIN		
GMGC10.026_545_800.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	90.39			1	416					+		99.76						FOSFOMYCIN		
GMGC10.027_169_110.FOSB	GMGC10.95nr_block_0007	fosD	fosfomycin resistance bacillithiol transferase FosD	ncbi	2021-Mar-27	NG_047892.1	abricate	abricate 1.0.1	89.52			1	420					+		100.0						FOSFOMYCIN		
GMGC10.027_458_315.FOSB	GMGC10.95nr_block_0007	fosA7.3	fosfomycin resistance glutathione transferase FosA7.3	ncbi	2021-Mar-27	NG_067229.1	abricate	abricate 1.0.1	95.51			1	423					+		100.0						FOSFOMYCIN		
GMGC10.027_520_977.COPY	GMGC10.95nr_block_0007	mecI_of_mecA	mecA-type methicillin resistance repressor MecI	ncbi	2021-Mar-27	NG_055650.1	abricate	abricate 1.0.1	99.73			1	372					+		100.0						METHICILLIN		
GMGC10.027_605_221.FOSB	GMGC10.95nr_block_0007	fosA-491618165	FosG/FosC2 family fosfomycin resistance glutathione transferase	ncbi	2021-Mar-27	NG_050560.1	abricate	abricate 1.0.1	80.7			1	399					+		100.0						FOSFOMYCIN		
GMGC10.031_619_256.FOSB	GMGC10.95nr_block_0007	fosA7.4	fosfomycin resistance glutathione transferase FosA7.4	ncbi	2021-Mar-27	NG_067230.1	abricate	abricate 1.0.1	95.27			1	423					+		100.0						FOSFOMYCIN		
GMGC10.035_740_690.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	85.58			1	416					+		99.76						FOSFOMYCIN		
GMGC10.036_635_555.FOSB	GMGC10.95nr_block_0007	fosA2	fosfomycin resistance glutathione transferase FosA2	ncbi	2021-Mar-27	NG_050406.1	abricate	abricate 1.0.1	84.92			1	411					+		96.48						FOSFOMYCIN		
GMGC10.038_021_722.FOSB	GMGC10.95nr_block_0007	fosK	fosfomycin resistance glutathione transferase FosK	ncbi	2021-Mar-27	NG_047898.1	abricate	abricate 1.0.1	86.22			1	399					+		100.0						FOSFOMYCIN		
GMGC10.039_045_695.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	91.83			1	416					+		99.76						FOSFOMYCIN		
GMGC10.039_052_825.FOSA	GMGC10.95nr_block_0007	fosB-38141535	FosB family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_047887.1	abricate	abricate 1.0.1	94.9			6	417					+		98.8						FOSFOMYCIN		
GMGC10.039_064_668.FOSA	GMGC10.95nr_block_0007	fosB2	fosfomycin resistance bacillithiol transferase FosB2	ncbi	2021-Mar-27	NG_050411.1	abricate	abricate 1.0.1	98.57			1	420					+		100.0						FOSFOMYCIN		
GMGC10.040_427_529.FOSB	GMGC10.95nr_block_0007	fosB_gen	FosB/FosD family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_055636.1	abricate	abricate 1.0.1	81.73			1	416					+		99.76						FOSFOMYCIN		
GMGC10.042_399_422.FOSB	GMGC10.95nr_block_0007	fosF	fosfomycin resistance glutathione transferase FosF	ncbi	2021-Mar-27	NG_047894.1	abricate	abricate 1.0.1	83.83			1	402					+		100.0						FOSFOMYCIN		
GMGC10.002_310_983.ARR	GMGC10.95nr_block_0008	arr-5	NAD(+)--rifampin ADP-ribosyltransferase Arr-5	ncbi	2021-Mar-27	NG_048583.1	abricate	abricate 1.0.1	100.0			1	453					+		100.0						RIFAMYCIN		
GMGC10.002_821_235.AACA7	GMGC10.95nr_block_0008	aac(6')_Acine	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052397.1	abricate	abricate 1.0.1	100.0			1	438					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.009_633_220.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	80.33			1	427					+		98.84						RIFAMYCIN		
GMGC10.010_686_115.AACA7	GMGC10.95nr_block_0008	aac(6')_Yersi	aminoglycoside 6'-N-acetyltransferase	ncbi	2021-Mar-27	NG_052265.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMINOGLYCOSIDE		
GMGC10.011_109_108.FOSB	GMGC10.95nr_block_0008	fosB-251804940	FosB family fosfomycin resistance bacillithiol transferase	ncbi	2021-Mar-27	NG_047889.1	abricate	abricate 1.0.1	99.53			1	429					+		100.0						FOSFOMYCIN		
GMGC10.012_333_233.AACA7	GMGC10.95nr_block_0008	aacA-ACI5	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052258.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.012_462_700.FOSB	GMGC10.95nr_block_0008	fosA	fosfomycin resistance glutathione transferase FosA	ncbi	2021-Mar-27	NG_050405.1	abricate	abricate 1.0.1	94.35			2	426					+		99.77						FOSFOMYCIN		
GMGC10.013_845_716.AACA7	GMGC10.95nr_block_0008	aacA-ACI5	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052458.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.014_441_136.GPT	GMGC10.95nr_block_0008	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	ncbi	2021-Mar-27	NG_048129.1	abricate	abricate 1.0.1	82.41			1	432					+		92.9						TETRACYCLINE		
GMGC10.015_244_634.UNKNOWN	GMGC10.95nr_block_0008	aac(3)-Ii	aminoglycoside N-acetyltransferase AAC(3)-Ii	ncbi	2021-Mar-27	NG_048573.1	abricate	abricate 1.0.1	83.81			1	451					+		98.26						GENTAMICIN		
GMGC10.015_875_367.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	80.84			1	427					+		98.61						RIFAMYCIN		
GMGC10.017_642_794.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.27			1	427					+		98.84						RIFAMYCIN		
GMGC10.017_912_594.AACA7	GMGC10.95nr_block_0008	aac(6')_Yersi	aminoglycoside 6'-N-acetyltransferase	ncbi	2021-Mar-27	NG_052200.1	abricate	abricate 1.0.1	100.0			1	432					+		100.0						AMINOGLYCOSIDE		
GMGC10.018_022_339.AACA7	GMGC10.95nr_block_0008	aac(6')_Yersi	aminoglycoside 6'-N-acetyltransferase	ncbi	2021-Mar-27	NG_052199.1	abricate	abricate 1.0.1	100.0			1	447					+		100.0						AMINOGLYCOSIDE		
GMGC10.022_171_203.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	93.24			1	429					+		99.31						RIFAMYCIN		
GMGC10.022_754_984.AACA7	GMGC10.95nr_block_0008	aac(6')_Serra	aminoglycoside 6'-N-acetyltransferase	ncbi	2021-Mar-27	NG_052190.1	abricate	abricate 1.0.1	98.41			1	441					+		100.0						AMINOGLYCOSIDE		
GMGC10.023_907_226.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.67			10	439					+		99.31						RIFAMYCIN		
GMGC10.023_941_049.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.67			10	440					+		99.77						RIFAMYCIN		
GMGC10.024_128_108.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	80.09			13	439					+		98.84						RIFAMYCIN		
GMGC10.024_165_162.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.97			10	375					+		84.72						RIFAMYCIN		
GMGC10.024_612_514.AACA7	GMGC10.95nr_block_0008	aac(6')-Iv	aminoglycoside N-acetyltransferase AAC(6')-Iv	ncbi	2021-Mar-27	NG_047314.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.024_841_736.AACA7	GMGC10.95nr_block_0008	aacA-ACI7	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052399.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.024_864_889.AACA7	GMGC10.95nr_block_0008	aacA-ACI6	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052401.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.024_901_610.AACA7	GMGC10.95nr_block_0008	aac(6')-Iu	aminoglycoside N-acetyltransferase AAC(6')-Iu	ncbi	2021-Mar-27	NG_047313.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.024_940_502.AACA7	GMGC10.95nr_block_0008	aacA-ACI3	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	ncbi	2021-Mar-27	NG_052527.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.024_945_742.AACA7	GMGC10.95nr_block_0008	aac(6')-Iw	aminoglycoside N-acetyltransferase AAC(6')-Iw	ncbi	2021-Mar-27	NG_047315.1	abricate	abricate 1.0.1	100.0			1	441					+		100.0						AMIKACIN;KANAMYCIN;TOBRAMYCIN		
GMGC10.025_110_500.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.86			10	439					+		99.54						RIFAMYCIN		
GMGC10.026_126_034.ARR	GMGC10.95nr_block_0008	arr-Ms	NAD(+)--rifampin ADP-ribosyltransferase	ncbi	2021-Mar-27	NG_047477.1	abricate	abricate 1.0.1	81.63			10	439					+		99.54						RIFAMYCIN		
