#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE	19	219	ExDog1_43028	phenicol	D16171.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	0.9911815982262232	98.5	201	421	1.31e-152	1
VANU	1	68	ExDog1_72324	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9919007792724109	54.4	68	75.9	1.64e-20	1
AADA	1	263	ExDog1_43022	aminoglycoside	gi:241992581:gb:ACS73641.1:|FEATURES|aadA|aminoglycoside|aadA	0.9999987536606575	98.9	263	515	2.06e-188	1
ANT(2'')-I	22	198	ExDog1_43023	aminoglycoside	CAG34229|FEATURES|ant(2'')-I|aminoglycoside|ant(2'')-I	0.9974051580445951	99.4	177	369	3.60e-133	1
SUL1	30	308	ExDog1_43020	sulfonamide	gi:321276068:gb:ADW81558.1:|FEATURES|sul1|sulfonamide|sul1	0.9914034552850799	100	279	543	2.18e-198	1
UGD	50	388	ExDog1_358585	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8723043795705618	56.5	386	413	3.15e-144	1
UGD	2	388	ExDog1_73645	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8933041104931705	57.7	416	469	7.01e-166	1
VANR	1	230	ExDog1_123088	glycopeptide	gi:507059692:ref:WP_016130597.1:|FEATURES|vanR|glycopeptide|vanR	0.9999962447177951	72.2	230	355	3.00e-126	1
EFRB	32	362	ExDog1_322762	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8061954482425544	54.7	331	348	3.01e-119	1
RPOB2	20	1122	ExDog1_300093	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944807132038135	53.5	1240	1224	0.0	1
ACRB	1	1034	ExDog1_81748	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.945359995918418	60.7	1060	1192	0.0	1
UGD	1	388	ExDog1_74170	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8929934007866045	57.5	435	468	6.62e-165	1
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_143298	unclassified	gi:499731375:ref:WP_011412109.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932124789355	78.5	209	334	1.61e-118	1
VANU	1	67	ExDog1_143293	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9957179176226155	62.7	67	85.5	2.10e-24	1
UGD	1	388	ExDog1_278572	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	59.2	412	474	1.39e-167	1
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE	11	207	ExDog1_250755	phenicol	S48276.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	0.9991556007012062	68.0	197	302	3.49e-106	1
EFRB	36	362	ExDog1_130283	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8005922744900221	52.6	327	343	4.21e-116	1
UGD	1	388	ExDog1_123037	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8881066897249492	53.5	441	453	7.30e-159	1
UGD	2	388	ExDog1_276601	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8904431975536451	55.8	434	460	6.66e-162	1
MEFA	1	405	ExDog1_29597	MLS	gi:501051234:ref:WP_012102863.1:|FEATURES|mefA|MLS|mefA	0.9820105018705445	58.0	405	473	5.14e-167	1
PATB	1	387	ExDog1_224845	fluoroquinolone	NP_358969.1|FEATURES|patB|fluoroquinolone|patB	0.8025477247015683	58.1	387	488	7.90e-174	1
LNUA	2	160	ExDog1_234243	MLS	CAJ75672|FEATURES|lnuA|MLS|lnuA	0.9999999713289028	57.9	159	201	1.00e-67	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	272	ExDog1_150378	aminoglycoside	Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999795970177264	56.9	262	264	1.27e-87	1
RPOB2	24	1122	ExDog1_154228	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941384492265216	53.0	1236	1207	0.0	1
RPOB2	24	1122	ExDog1_4271	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943028418667084	53.6	1240	1215	0.0	1
BCRA	34	302	ExDog1_380764	bacitracin	gi:500448961:gb:EOP61695.1:|FEATURES|bcrA|bacitracin|bcrA	0.9987375128088805	50.9	269	261	2.20e-87	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_73820	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994992619721909	61.7	287	395	2.98e-140	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_105702	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8112365690172086	51.3	78	77.4	4.47e-19	1
LSA	1	492	ExDog1_165154	MLS	gi:902795376:ref:WP_049664555.1:|FEATURES|lsa|MLS|lsa	0.9736576324405002	52.6	498	503	3.27e-176	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_161206	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	50.0	80	78.2	5.80e-21	1
RPOB2	28	1122	ExDog1_241102	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947421014048177	55.2	1211	1238	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_383686	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9996967799053936	66.7	288	422	5.26e-151	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_365363	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9997221092854163	66.7	288	427	1.92e-152	1
LNUD	1	164	ExDog1_69507	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9954144985439946	60.4	164	211	1.43e-71	1
VANU	1	67	ExDog1_365205	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.978051747980071	50.0	68	62.8	2.52e-15	1
VANS	1	131	ExDog1_145027	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9965480825700297	72.5	131	206	1.91e-70	1
RPOB2	20	1137	ExDog1_342539	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943829476019871	53.5	1255	1219	0.0	1
ROSA	17	405	ExDog1_154951	fosmidomycin	YP_001477378|FEATURES|rosA|fosmidomycin|rosA	0.9992746442745472	56.2	390	422	5.29e-147	1
UGD	1	388	ExDog1_145835	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8974889638529537	59.8	410	483	4.48e-171	1
EFRB	19	362	ExDog1_273445	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8061954482425544	50.9	344	348	4.75e-117	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	261	ExDog1_326782	aminoglycoside	YP_002240485|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999891984531344	60.2	251	272	3.19e-91	1
OPRM	10	390	ExDog1_43263	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.9982531192272475	52.2	381	365	2.30e-124	1
RPOB2	20	1122	ExDog1_162372	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940328680480296	53.1	1238	1202	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_272180	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9988940548855179	53.8	305	357	1.14e-124	1
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_3154	unclassified	gi:499731375:ref:WP_011412109.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932498337120543	78.1	210	335	1.28e-118	1
VANRI	5	232	ExDog1_22803	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999771771566232	54.3	232	261	5.24e-89	1
UGD	1	388	ExDog1_4822	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.897200548524983	60.0	410	482	5.89e-171	1
BACA	1	274	ExDog1_227540	bacitracin	ZP_04577926|FEATURES|bacA|bacitracin|bacA	0.9931744866718858	55.5	283	300	5.93e-103	1
EFRB	22	362	ExDog1_184260	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8301395197701537	57.8	344	371	5.82e-125	1
RPOB2	24	1162	ExDog1_52764	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944026877202107	52.7	1273	1220	0.0	1
UGD	100	388	ExDog1_11034	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8575614056760248	63.3	313	384	6.68e-134	1
MACB	4	646	ExDog1_89590	MLS	gi:754493745:ref:WP_041910640.1:|FEATURES|macB|MLS|macB	0.9852868602309967	52.9	662	624	7.36e-219	1
EMRE	1	95	ExDog1_282450	multidrug	ZP_03048536|FEATURES|emrE|multidrug|emrE	0.9946821945323273	98.9	95	195	6.76e-67	1
BCRA	4	302	ExDog1_279284	bacitracin	gi:510143239:gb:AGN36970.1:|FEATURES|bcrA|bacitracin|bcrA	0.9996598549510722	52.2	299	307	1.51e-104	1
LSA	1	492	ExDog1_127298	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.999507800709838	63.6	492	636	9.93e-229	1
UGD	1	316	ExDog1_264796	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8713830114219372	61.1	339	411	2.91e-144	1
RPOB2	24	1122	ExDog1_60238	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944807132038135	54.1	1221	1224	0.0	1
LSA	1	490	ExDog1_257263	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9999565896292157	60.2	490	591	2.19e-211	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_388017	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9992747194383566	61.8	285	376	8.76e-133	1
TET32	1	639	ExDog1_306544	tetracycline	ABV82120|FEATURES|tet32|tetracycline|tet32	0.9999583590883466	76.7	639	989	0.0	1
UGD	1	388	ExDog1_321832	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8991789430773233	60.5	410	489	1.66e-173	1
VANR	1	231	ExDog1_20667	glycopeptide	AY082011.1.gene1.p01|FEATURES|vanR|glycopeptide|vanR	0.9999987091149564	75.4	232	373	3.32e-133	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_358266	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8327395349499018	51.3	78	80.5	2.56e-20	1
VANR	4	232	ExDog1_105237	glycopeptide	ACM47283|FEATURES|vanR|glycopeptide|vanR	0.9996194622525941	54.8	230	256	4.41e-87	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog1_178141	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8353372809646541	54.1	74	80.9	1.96e-21	1
RPOB2	24	1122	ExDog1_165272	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941800156420977	53.8	1236	1209	0.0	1
KDPE	4	225	ExDog1_254675	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9881944359840144	53.8	225	240	7.14e-81	1
BCRA	7	309	ExDog1_209427	bacitracin	gi:445996719:ref:WP_000074574.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997574920839507	52.5	303	310	4.58e-106	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_165290	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993559293947867	60.4	285	382	6.27e-135	1
VANU	1	67	ExDog1_137013	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9916697157178558	53.7	67	75.5	2.62e-20	1
TETA	1	408	ExDog1_179229	tetracycline	ZP_02863325|FEATURES|tetA|tetracycline|tetA	0.9999372981093277	100	408	761	9.09e-281	1
UGD	86	358	ExDog1_344588	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8262195218491768	55.6	320	336	7.28e-115	1
VANU	4	66	ExDog1_36690	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9931017664635273	60.3	63	78.2	3.43e-21	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_272628	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993807282682569	60.6	287	384	1.48e-135	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_253054	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993431170778632	60.5	286	381	8.90e-135	1
APH(3')-I	1	271	ExDog1_219106	aminoglycoside	ACD76089|FEATURES|aph(3')-I|aminoglycoside|aph(3')-I	0.9999998711140969	100	271	569	1.73e-209	1
VANS	1	130	ExDog1_386995	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9942672377620203	63.1	130	187	8.17e-63	1
BAER	1	240	ExDog1_190144	multidrug	YP_490321.1|FEATURES|baeR|multidrug|baeR	0.9994833311828778	99.6	240	476	8.74e-174	1
VANS	1	130	ExDog1_381520	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9947505046292268	62.3	130	190	4.75e-64	1
LNUD	1	164	ExDog1_257505	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9934511846627242	54.9	164	202	4.35e-68	1
LNUD	6	164	ExDog1_247196	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9939902295830035	62.9	159	228	3.00e-78	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_120358	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995358514436617	62.2	286	399	6.07e-142	1
UGD	3	388	ExDog1_59126	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8954366003759973	59.8	410	476	1.71e-168	1
VANU	1	74	ExDog1_17154	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9922894847035462	52.7	74	76.6	8.46e-21	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_68435	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993926972744896	60.8	288	385	1.96e-136	1
UGD	1	388	ExDog1_163791	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.900813047093537	61.7	410	495	4.35e-176	1
LNUA	7	161	ExDog1_324622	MLS	CAJ75672|FEATURES|lnuA|MLS|lnuA	0.9999999392233082	52.9	155	190	3.96e-63	1
VANRI	1	232	ExDog1_364571	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999913936735819	65.5	232	322	5.43e-113	1
MDTG	28	399	ExDog1_238969	multidrug	YP_002740275|FEATURES|mdtG|multidrug|mdtG	0.9666491166654342	60.8	372	452	1.30e-159	1
RPOB2	28	1120	ExDog1_203674	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.994705905276449	56.7	1136	1236	0.0	1
VANR	4	235	ExDog1_158880	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999804033408983	53.9	232	251	4.58e-85	1
RPOB2	28	1137	ExDog1_295864	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9951165084474625	55.2	1224	1260	0.0	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	3	287	ExDog1_11500	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.998624124317948	56.4	291	348	1.17e-121	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_320013	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994159409865057	60.6	287	387	6.87e-137	1
MEFA	44	405	ExDog1_75004	MLS	ACD88490|FEATURES|mefA|MLS|mefA	0.9987605509573204	57.5	362	409	1.25e-142	1
PENA	32	704	ExDog1_339643	beta-lactam	U58210.1.gene4.p01|FEATURES|penA|beta-lactam|penA	0.9953444417792262	55.3	674	702	1.92e-248	1
CLASS_C	55	388	ExDog1_249716	beta-lactam	gi:717496287:gb:AIW80402.1:|FEATURES|class_C|beta-lactam|class_C	0.9892164074429592	99.7	334	690	2.38e-254	1
RPOB2	11	1136	ExDog1_286294	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9936295390961364	51.5	1271	1184	0.0	1
OMPF	1	362	ExDog1_315472	multidrug	gi:446900664:ref:WP_000977920.1:|FEATURES|ompF|multidrug|ompF	0.9997697826220957	100	362	727	6.50e-269	1
RPOB2	28	1122	ExDog1_224626	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9926204088807848	53.2	1184	1145	0.0	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog1_118547	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	55.4	74	78.2	3.42e-19	1
RPOB2	24	1122	ExDog1_72610	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941800156420977	53.6	1236	1209	0.0	1
UGD	1	388	ExDog1_95694	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8838672664940611	57.7	392	441	6.45e-155	1
VANR	1	230	ExDog1_160050	glycopeptide	gi:447203855:ref:WP_001281111.1:|FEATURES|vanR|glycopeptide|vanR	0.9999631258611497	59.6	230	288	1.28e-99	1
TET44	1	638	ExDog1_194345	tetracycline	FN594949.1.gene24.p01|FEATURES|tet44|tetracycline|tet44	0.9999951794182593	85.9	638	1099	0.0	1
RPOB2	28	1145	ExDog1_294360	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9942212747356446	53.4	1231	1211	0.0	1
RPOB2	24	1123	ExDog1_238519	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9950843186570515	55.9	1203	1258	0.0	1
VANU	1	65	ExDog1_11755	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9879831089675605	53.8	65	70.5	1.56e-18	1
VANU	1	65	ExDog1_102655	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.994786706485425	56.9	65	82.4	3.20e-23	1
LSA	1	492	ExDog1_90509	MLS	gi:951389844:ref:WP_057765492.1:|FEATURES|lsa|MLS|lsa	0.9386720908981604	68.3	492	674	1.06e-242	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_256947	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994159409865057	61.0	287	387	6.36e-137	1
LSA	1	492	ExDog1_224196	MLS	gi:1032346815:ref:WP_064200323.1:|FEATURES|lsa|MLS|lsa	0.9973404977604123	63.6	492	639	7.59e-230	1
RPOB2	24	1135	ExDog1_117185	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943431575412738	53.3	1251	1217	0.0	1
VANR	4	235	ExDog1_236997	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999842039704901	54.3	232	255	1.39e-86	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	256	ExDog1_172856	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994381633476165	68.4	256	389	1.84e-138	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	284	ExDog1_26520	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.99752619009596	54.2	286	325	2.16e-112	1
EPTA	44	547	ExDog1_331039	peptide	BAE78116.1|FEATURES|eptA|peptide|eptA	0.8586759412339325	99.8	504	1007	0.0	1
TET34	1	152	ExDog1_145092	tetracycline	YP_001444376|FEATURES|tet34|tetracycline|tet34	0.9999994981024206	67.1	152	228	1.75e-78	1
UGD	2	388	ExDog1_317172	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8974889638529535	60.4	409	483	7.25e-170	1
UGD	2	388	ExDog1_284147	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9010801493843381	61.8	411	496	2.08e-176	1
UGD	1	316	ExDog1_264823	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8727609096931607	61.1	339	414	2.52e-145	1
VANU	1	72	ExDog1_265746	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9921252544509098	52.8	72	76.3	9.49e-21	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	248	ExDog1_84888	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.998840249157333	63.7	248	355	1.95e-124	1
