# argNorm version: 1.0.0
Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	Hierarchy node	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
	contig10	486	1307	+	blaOXA	OXA-9 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	INTERNAL_STOP	274	274.0	100.0	99.64	274	WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9			blaOXA-9_fam	ARO:3001404	OXA-9	Perfect	ARO:0000056,ARO:3000008	oxacillin,penicillin beta-lactam	ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic
	contig11	1	984	+	blaTEMp_G162T	Escherichia amoxicillin-clavulanic acid/piperacillin-tazobactam/ticarcillin-clavulanic acid resistant blaTEM	core	AMR	POINT	BETA-LACTAM	AMOXICILLIN-CLAVULANIC_ACID/PIPERACILLIN-TAZOBACTAM/TICARCILLIN-CLAVULANIC_ACID	POINTN	984	1176.0	83.67	96.04	984	NZ_CP095603.1:148777-149952	blaTEM promoter region										
blaTEM-internal_stop	contig11	113	547	+	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	INTERNAL_STOP	144	286.0	50.35	97.22	144	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1			blaTEM	ARO:3000873	TEM-1	Perfect	ARO:0000004,ARO:0000032,ARO:0000058,ARO:0000064,ARO:3000008,ARO:3000637,ARO:3000704	monobactam,cephalosporin,cefazolin,amoxicillin,penicillin beta-lactam,ampicillin,cefalotin	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
qacR-curated_blast	contig12	71	637	+	qacR	multidrug-binding transcriptional regulator QacR	plus	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTP	188	188.0	100.0	99.47	188	ADK23698.1	multidrug-binding transcriptional regulator QacR			qacR	ARO:3003807	Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime	Loose	ARO:0000030,ARO:0000036,ARO:0000051,ARO:0000060,ARO:3000169,ARO:3000385,ARO:3000637,ARO:3000704,ARO:3000870	tigecycline,ciprofloxacin,tetracycline,ceftazidime,rifampin,chloramphenicol,ampicillin,cefalotin,triclosan	ARO:0000001,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000050,ARO:3000050,ARO:3000157,ARO:3000387,ARO:3005386	fluoroquinolone antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,tetracycline antibiotic,tetracycline antibiotic,rifamycin antibiotic,phenicol antibiotic,disinfecting agents and antiseptics
emrD3-suppressed-in-vibrio	contig13	1	1137	+	emrD3	multidrug efflux MFS transporter EmrD-3	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	379	379.0	100.0	100.0	379	ABQ18953.1	multidrug efflux MFS transporter EmrD-3			emrD3	ARO:3003801	bcr-1	Loose	ARO:0000055	bicyclomycin	ARO:3007150	bicyclomycin-like antibiotic
	contig14	1	1089	+	pmrB_C84R	Escherichia colistin resistant PmrB	core	AMR	POINT	COLISTIN	COLISTIN	POINTX	363	363.0	100.0	99.72	363	WP_001300761.1	two-component system sensor histidine kinase PmrB			pmrB	ARO:3003583	basS	Loose	ARO:3000454	polymyxin B	ARO:3000053	peptide antibiotic
pmrB_C84R	contig14	1093	2181	+	pmrB_C84R	Escherichia colistin resistant PmrB	core	AMR	POINT	COLISTIN	COLISTIN	POINTP	363	363.0	100.0	99.72	363	WP_001300761.1	two-component system sensor histidine kinase PmrB			pmrB	ARO:3003583	basS	Loose	ARO:3000454	polymyxin B	ARO:3000053	peptide antibiotic
	contig15	1	2905	+	23S_A2058T	Escherichia azithromycin/erythromycin/telithromycin resistant 23S	core	AMR	POINT	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/TELITHROMYCIN	POINTN	2905	2905.0	100.0	99.97	2905	NC_004431.1:237160-240064	23S ribosomal RNA										
	contig16	1	720	+	nfsA_K141STOP	Escherichia nitrofurantoin resistant NfsA	core	AMR	POINT	NITROFURAN	NITROFURANTOIN	POINTX	240	240.0	100.0	99.17	240	WP_089631889.1	nitroreductase NfsA			nfsA	ARO:3003751	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Manual	ARO:0000075	nitrofurantoin	ARO:3004116	nitrofuran antibiotic
	contig16	1	720	+	nfsA_R15C	Escherichia nitrofurantoin resistant NfsA	core	AMR	POINT	NITROFURAN	NITROFURANTOIN	POINTX	240	240.0	100.0	99.17	240	WP_089631889.1	nitroreductase NfsA			nfsA	ARO:3003751	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Manual	ARO:0000075	nitrofurantoin	ARO:3004116	nitrofuran antibiotic
	contig17	1	247	+	ampC_T-14TGT	Escherichia cephalosporin resistant ampC	core	AMR	POINT	BETA-LACTAM	CEPHALOSPORIN	POINTN	247	245.0	100.0	99.19	247	NZ_CP041538.1:1149245-1149489	ampC/blaEC promoter region										
stxA2a_prot	contig18	279	1238	+	stxA2	Shiga toxin Stx2 subunit A	plus	VIRULENCE	VIRULENCE	STX2	stxA2	EXACTP	319	319.0	100.0	100.0	319	TJA36680.1	Shiga toxin Stx2 subunit A	NF041702.1	Shiga toxin Stx2 subunit A	stxA2_acd	ARO:3003109	msrE	Loose	ARO:0000006,ARO:0000026	erythromycin,streptogramin antibiotic	ARO:0000000,ARO:0000026	macrolide antibiotic,streptogramin antibiotic
	contig18	279	1519	+	stx2a_operon	stx2a operon	plus	VIRULENCE	STX_TYPE	STX2	STX2A	COMPLETE	1241			100.0	410	AAS07600.1,AAM90978.1	Shiga toxin stx2a			stxA2a::stxB2a							
stxB2a_prot	contig18	1250	1519	+	stxB2	Shiga toxin Stx2a subunit B	plus	VIRULENCE	VIRULENCE	STX2	stxB2a	EXACTP	89	89.0	100.0	100.0	89	AAM90978.1	Shiga toxin Stx2a subunit B	NF033660.0	Shiga toxin Stx2 subunit B	stxB2a	ARO:3002235	IMP-44	Loose	ARO:0000020,ARO:0000032,ARO:3000008	carbapenem,cephalosporin,penicillin beta-lactam	ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
nimIJ_hmm	contigX	1	501	+	nimIJ	NimIJ family 5-nitroimidazole reductase	core	AMR	AMR	NITROIMIDAZOLE	NITROIMIDAZOLE	HMM	166	165.0	98.18	76.54	162	WP_005812825.1	NimIJ family 5-nitroimidazole reductase	NF000262.1	NimIJ family 5-nitroimidazole reductase	nimIJ							
