# argNorm version: 1.1.0
Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
	k119_64006	620	1483	-	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	288	288	100.0	100.0	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE			ARO:3002629	ANT(6)-Ib	Loose	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
	k119_66841	76	873	-	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	266	266	100.0	100.0	266	WP_002682030.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)			ARO:3000498	ErmF	Strict	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic
	k119_67483	241	570	-	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIALX	110	164	67.07	99.09	110	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF			ARO:3002867	dfrF	Perfect	ARO:3000188	trimethoprim	ARO:3000171	diaminopyrimidine antibiotic
	k119_69070	121	2037	+	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.0	99.69	639	WP_002602099.1	tetracycline resistance ribosomal protection protein Tet(32)			ARO:3000196	tet(32)	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
	k119_70882	3	1289	-	bexA	multidrug efflux MATE transporter BexA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	429	443	96.84	99.3	429	BAB64566.1	multidrug efflux MATE transporter BexA			ARO:3003953	hmrM	Loose	ARO:0000045,ARO:3000662	acriflavine,norfloxacin	ARO:0000001,ARO:3005386	fluoroquinolone antibiotic,disinfecting agents and antiseptics
	k119_82797	68	841	-	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTX	258	258	100.0	99.61	258	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase			ARO:3002630	ANT(9)-Ia	Loose	ARO:0000039	spectinomycin	ARO:0000016	aminoglycoside antibiotic
	k119_84636	24650	25384	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	245	245	100.0	100.0	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)			ARO:3000375	ErmB	Strict	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic
	k119_91457	1830	2339	-	lnu(AN2)	lincosamide nucleotidyltransferase Lnu(AN2)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	170	170	100.0	100.0	170	WP_004308783.1	lincosamide nucleotidyltransferase Lnu(AN2)			ARO:3002835	lnuA	Loose	ARO:0000046,ARO:3007169	lincomycin,pirlimycin	ARO:0000017,ARO:0000017	lincosamide antibiotic,lincosamide antibiotic
	k119_91457	2367	3569	-	mef(En2)	macrolide efflux MFS transporter Mef(En2)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	401	401	100.0	99.5	401	WP_063853729.1	macrolide efflux MFS transporter Mef(En2)			ARO:3004659	Mef(En2)	Perfect	ARO:0000000,ARO:0000046	macrolide antibiotic,lincomycin	ARO:0000000,ARO:0000017	macrolide antibiotic,lincosamide antibiotic
	k119_9485	21199	23115	+	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.0	100.0	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)			ARO:3000194	tet(W)	Perfect	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
	k119_95290	1975	2595	+	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	207	207	100.0	100.0	207	WP_043774378.1	type A-13 chloramphenicol O-acetyltransferase			ARO:3004454	Campylobacter coli chloramphenicol acetyltransferase	Strict	ARO:3000385	chloramphenicol	ARO:3000387	phenicol antibiotic
