#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	ARO	confers_resistance_to	resistance_to_drug_classes
CAMP-REGULATORY_PROTEIN	1	210	ExDog1_235185	unclassified	gi:446164900:ref:WP_000242755.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9954203937872304	100.0	210	418.0	6.4599999999999995e-152	1	ARO:3000518		
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_77358	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994896139484772	62.0	287	394.0	1.16e-139	1	ARO:3003982	ARO:0000066	ARO:0000017
DNA-BINDING_PROTEIN_H-NS	5	135	ExDog1_38063	unclassified	CP001918.1.gene1661.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	0.9922208153601768	55.0	131	131.0	9.79e-41	1	ARO:3000676		
ACRB	2	1036	ExDog1_387925	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.8476833429275172	57.3	1039	1127.0	0.0	1	ARO:3000777		
RPOB2	20	1135	ExDog1_213166	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.993813895670035	52.4	1259	1192.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
UGD	80	388	ExDog1_127390	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8586759823483461	56.7	360	386.0	4.77e-134	1	ARO:3003577	ARO:3000454	ARO:1000003
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	80	ExDog1_161601	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	50.0	80	78.2	2.14e-19	1	ARO:3000838		
EFRA	2	469	ExDog1_184259	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.9079488765665902	56.7	469	504.0	1.42e-175	1	ARO:3003948		
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	ExDog1_217733	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9019910074191771	63.5	74	94.0	2.3300000000000004e-27	1	ARO:3000838		
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_300897	unclassified	gi:490367208:ref:WP_004246872.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932004646664409	78.0	209	333.0	3.24e-118	1	ARO:3000518		
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE	19	219	ExDog1_43028	phenicol	D16171.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	0.9911815982262232	98.5	201	421.0	1.31e-152	1	ARO:3002689	ARO:3000382,ARO:3000385,ARO:3000456	ARO:3000387,ARO:3000387,ARO:3000387
VANU	1	68	ExDog1_72324	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9919007792724108	54.4	68	75.9	1.64e-20	1	ARO:3004253		
AADA	1	263	ExDog1_43022	aminoglycoside	gi:241992581:gb:ACS73641.1:|FEATURES|aadA|aminoglycoside|aadA	0.9999987536606576	98.9	263	515.0	2.06e-188	1	ARO:3002602	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
ANT(2'')-I	22	198	ExDog1_43023	aminoglycoside	CAG34229|FEATURES|ant(2'')-I|aminoglycoside|ant(2'')-I	0.9974051580445952	99.4	177	369.0	3.6e-133	1	ARO:3000230	ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3007382	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:3000707
SUL1	30	308	ExDog1_43020	sulfonamide	gi:321276068:gb:ADW81558.1:|FEATURES|sul1|sulfonamide|sul1	0.99140345528508	100.0	279	543.0	2.18e-198	1	ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
UGD	50	388	ExDog1_358585	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8723043795705618	56.5	386	413.0	3.15e-144	1	ARO:3003577	ARO:3000454	ARO:1000003
UGD	2	388	ExDog1_73645	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8933041104931705	57.7	416	469.0	7.010000000000001e-166	1	ARO:3003577	ARO:3000454	ARO:1000003
VANR	1	230	ExDog1_123088	glycopeptide	gi:507059692:ref:WP_016130597.1:|FEATURES|vanR|glycopeptide|vanR	0.9999962447177952	72.2	230	355.0	2.9999999999999995e-126	1	ARO:3002919		
EFRB	32	362	ExDog1_322762	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8061954482425544	54.7	331	348.0	3.01e-119	1	ARO:3003949		
RPOB2	20	1122	ExDog1_300093	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944807132038136	53.5	1240	1224.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
ACRB	1	1034	ExDog1_81748	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.945359995918418	60.7	1060	1192.0	0.0	1	ARO:3000777		
UGD	1	388	ExDog1_74170	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8929934007866045	57.5	435	468.0	6.62e-165	1	ARO:3003577	ARO:3000454	ARO:1000003
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_143298	unclassified	gi:499731375:ref:WP_011412109.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932124789355	78.5	209	334.0	1.61e-118	1	ARO:3000518		
VANU	1	67	ExDog1_143293	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9957179176226156	62.7	67	85.5	2.1e-24	1	ARO:3004253		
UGD	1	388	ExDog1_278572	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8948346607432162	59.2	412	474.0	1.39e-167	1	ARO:3003577	ARO:3000454	ARO:1000003
CAT_CHLORAMPHENICOL_ACETYLTRANSFERASE	11	207	ExDog1_250755	phenicol	S48276.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	0.9991556007012062	68.0	197	302.0	3.49e-106	1	ARO:3004460	ARO:3000385	ARO:3000387
EFRB	36	362	ExDog1_130283	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8005922744900221	52.6	327	343.0	4.21e-116	1	ARO:3003949		
UGD	1	388	ExDog1_123037	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8881066897249492	53.5	441	453.0	7.3e-159	1	ARO:3003577	ARO:3000454	ARO:1000003
UGD	2	388	ExDog1_276601	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8904431975536451	55.8	434	460.0	6.66e-162	1	ARO:3003577	ARO:3000454	ARO:1000003
MEFA	1	405	ExDog1_29597	MLS	gi:501051234:ref:WP_012102863.1:|FEATURES|mefA|MLS|mefA	0.9820105018705444	58.0	405	473.0	5.1400000000000006e-167	1	ARO:3000616	ARO:0000006,ARO:0000057	ARO:0000000,ARO:0000000
PATB	1	387	ExDog1_224845	fluoroquinolone	NP_358969.1|FEATURES|patB|fluoroquinolone|patB	0.8025477247015683	58.1	387	488.0	7.9e-174	1	ARO:3003692		
LNUA	2	160	ExDog1_234243	MLS	CAJ75672|FEATURES|lnuA|MLS|lnuA	0.9999999713289028	57.9	159	201.0	1e-67	1	ARO:3002835	ARO:0000046,ARO:3007169	ARO:0000017,ARO:0000017
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	272	ExDog1_150378	aminoglycoside	Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999795970177264	56.9	262	264.0	1.27e-87	1	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
RPOB2	24	1122	ExDog1_154228	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941384492265216	53.0	1236	1207.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
RPOB2	24	1122	ExDog1_4271	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943028418667084	53.6	1240	1215.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
BCRA	34	302	ExDog1_380764	bacitracin	gi:500448961:gb:EOP61695.1:|FEATURES|bcrA|bacitracin|bcrA	0.9987375128088803	50.9	269	261.0	2.2e-87	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_73820	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994992619721907	61.7	287	395.0	2.98e-140	1	ARO:3003982	ARO:0000066	ARO:0000017
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_105702	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8112365690172086	51.3	78	77.4	4.47e-19	1	ARO:3000838		
LSA	1	492	ExDog1_165154	MLS	gi:902795376:ref:WP_049664555.1:|FEATURES|lsa|MLS|lsa	0.9736576324405002	52.6	498	503.0	3.2699999999999995e-176	1	ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_161206	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	50.0	80	78.2	5.800000000000001e-21	1	ARO:3000838		
RPOB2	28	1122	ExDog1_241102	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9947421014048176	55.2	1211	1238.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_383686	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9996967799053936	66.7	288	422.0	5.26e-151	1	ARO:3003982	ARO:0000066	ARO:0000017
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_365363	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9997221092854164	66.7	288	427.0	1.9199999999999997e-152	1	ARO:3003982	ARO:0000066	ARO:0000017
LNUD	1	164	ExDog1_69507	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9954144985439946	60.4	164	211.0	1.43e-71	1	ARO:3002838	ARO:0000046,ARO:0000066	ARO:0000017,ARO:0000017
VANU	1	67	ExDog1_365205	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.978051747980071	50.0	68	62.8	2.52e-15	1	ARO:3004253		
VANS	1	131	ExDog1_145027	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9965480825700296	72.5	131	206.0	1.91e-70	1	ARO:3003564		
RPOB2	20	1137	ExDog1_342539	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943829476019872	53.5	1255	1219.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
ROSA	17	405	ExDog1_154951	fosmidomycin	YP_001477378|FEATURES|rosA|fosmidomycin|rosA	0.9992746442745472	56.2	390	422.0	5.29e-147	1	ARO:3003048		
UGD	1	388	ExDog1_145835	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8974889638529537	59.8	410	483.0	4.48e-171	1	ARO:3003577	ARO:3000454	ARO:1000003
EFRB	19	362	ExDog1_273445	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8061954482425544	50.9	344	348.0	4.75e-117	1	ARO:3003949		
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	261	ExDog1_326782	aminoglycoside	YP_002240485|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.9999891984531344	60.2	251	272.0	3.19e-91	1	ARO:3000600	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
OPRM	10	390	ExDog1_43263	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.9982531192272476	52.2	381	365.0	2.3e-124	1	ARO:3000379		
RPOB2	20	1122	ExDog1_162372	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940328680480296	53.1	1238	1202.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_272180	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.998894054885518	53.8	305	357.0	1.14e-124	1	ARO:3003982	ARO:0000066	ARO:0000017
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_3154	unclassified	gi:499731375:ref:WP_011412109.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932498337120544	78.1	210	335.0	1.28e-118	1	ARO:3000518		
VANRI	5	232	ExDog1_22803	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999771771566232	54.3	232	261.0	5.24e-89	1	ARO:3003728		
UGD	1	388	ExDog1_4822	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.897200548524983	60.0	410	482.0	5.89e-171	1	ARO:3003577	ARO:3000454	ARO:1000003
BACA	1	274	ExDog1_227540	bacitracin	ZP_04577926|FEATURES|bacA|bacitracin|bacA	0.9931744866718858	55.5	283	300.0	5.93e-103	1	ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
EFRB	22	362	ExDog1_184260	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8301395197701537	57.8	344	371.0	5.820000000000001e-125	1	ARO:3003949		
RPOB2	24	1162	ExDog1_52764	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944026877202108	52.7	1273	1220.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
UGD	100	388	ExDog1_11034	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8575614056760248	63.3	313	384.0	6.68e-134	1	ARO:3003577	ARO:3000454	ARO:1000003
MACB	4	646	ExDog1_89590	MLS	gi:754493745:ref:WP_041910640.1:|FEATURES|macB|MLS|macB	0.9852868602309968	52.9	662	624.0	7.36e-219	1	ARO:3000535		
EMRE	1	95	ExDog1_282450	multidrug	ZP_03048536|FEATURES|emrE|multidrug|emrE	0.9946821945323272	98.9	95	195.0	6.759999999999999e-67	1	ARO:3004039	ARO:0000006	ARO:0000000
BCRA	4	302	ExDog1_279284	bacitracin	gi:510143239:gb:AGN36970.1:|FEATURES|bcrA|bacitracin|bcrA	0.9996598549510722	52.2	299	307.0	1.51e-104	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
LSA	1	492	ExDog1_127298	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.999507800709838	63.6	492	636.0	9.93e-229	1	ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
UGD	1	316	ExDog1_264796	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8713830114219372	61.1	339	411.0	2.91e-144	1	ARO:3003577	ARO:3000454	ARO:1000003
RPOB2	24	1122	ExDog1_60238	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944807132038136	54.1	1221	1224.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
LSA	1	490	ExDog1_257263	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9999565896292156	60.2	490	591.0	2.19e-211	1	ARO:3003111	ARO:0000066,ARO:3001317	ARO:0000017,ARO:3000670
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_388017	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9992747194383566	61.8	285	376.0	8.76e-133	1	ARO:3003982	ARO:0000066	ARO:0000017
TET32	1	639	ExDog1_306544	tetracycline	ABV82120|FEATURES|tet32|tetracycline|tet32	0.9999583590883466	76.7	639	989.0	0.0	1	ARO:3000196	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
UGD	1	388	ExDog1_321832	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8991789430773233	60.5	410	489.0	1.6600000000000002e-173	1	ARO:3003577	ARO:3000454	ARO:1000003
VANR	1	231	ExDog1_20667	glycopeptide	AY082011.1.gene1.p01|FEATURES|vanR|glycopeptide|vanR	0.9999987091149564	75.4	232	373.0	3.32e-133	1	ARO:3002923		
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog1_358266	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8327395349499018	51.3	78	80.5	2.56e-20	1	ARO:3000838		
VANR	4	232	ExDog1_105237	glycopeptide	ACM47283|FEATURES|vanR|glycopeptide|vanR	0.999619462252594	54.8	230	256.0	4.41e-87	1	ARO:3002923		
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog1_178141	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8353372809646541	54.1	74	80.9	1.9600000000000003e-21	1	ARO:3000838		
RPOB2	24	1122	ExDog1_165272	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941800156420976	53.8	1236	1209.0	0.0	1	ARO:3000501	ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534	ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157
KDPE	4	225	ExDog1_254675	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9881944359840144	53.8	225	240.0	7.14e-81	1	ARO:3003841		
BCRA	7	309	ExDog1_209427	bacitracin	gi:445996719:ref:WP_000074574.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997574920839508	52.5	303	310.0	4.579999999999999e-106	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_165290	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993559293947868	60.4	285	382.0	6.27e-135	1	ARO:3003982	ARO:0000066	ARO:0000017
VANU	1	67	ExDog1_137013	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9916697157178558	53.7	67	75.5	2.62e-20	1	ARO:3004253		
TETA	1	408	ExDog1_179229	tetracycline	ZP_02863325|FEATURES|tetA|tetracycline|tetA	0.9999372981093276	100.0	408	761.0	9.09e-281	1	ARO:3000180	ARO:0000051	ARO:3000050
UGD	86	358	ExDog1_344588	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8262195218491768	55.6	320	336.0	7.279999999999999e-115	1	ARO:3003577	ARO:3000454	ARO:1000003
VANU	4	66	ExDog1_36690	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9931017664635272	60.3	63	78.2	3.4300000000000004e-21	1	ARO:3004253		
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_272628	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993807282682567	60.6	287	384.0	1.48e-135	1	ARO:3003982	ARO:0000066	ARO:0000017
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog1_253054	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9993431170778632	60.5	286	381.0	8.899999999999999e-135	1	ARO:3003982	ARO:0000066	ARO:0000017
APH(3')-I	1	271	ExDog1_219106	aminoglycoside	ACD76089|FEATURES|aph(3')-I|aminoglycoside|aph(3')-I	0.9999998711140968	100.0	271	569.0	1.7300000000000002e-209	1	ARO:3002641	ARO:0000005,ARO:0000021,ARO:0000049,ARO:3000655,ARO:3000657,ARO:3000658	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:3000707
VANS	1	130	ExDog1_386995	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9942672377620204	63.1	130	187.0	8.17e-63	1	ARO:3003564		
BAER	1	240	ExDog1_190144	multidrug	YP_490321.1|FEATURES|baeR|multidrug|baeR	0.9994833311828778	99.6	240	476.0	8.74e-174	1	ARO:3000828		
VANS	1	130	ExDog1_381520	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9947505046292268	62.3	130	190.0	4.75e-64	1	ARO:3003564		
LNUD	1	164	ExDog1_257505	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9934511846627242	54.9	164	202.0	4.35e-68	1	ARO:3002838	ARO:0000046,ARO:0000066	ARO:0000017,ARO:0000017
