	Original ID	Gene Name in CARD	ARO	Database
52	MEG_1527|Drugs|betalactams|Class_A_betalactamases|CARB	CARB-22	3003151	megares
53	MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI	Klebsiella pneumoniae KpnF	3004583	megares
54	MEG_4424|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-537	3005766	megares
55	MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA	opcM	3003037	megares
56	MEG_7753|Drugs|betalactams|Class_B_betalactamases|VIM	VIM-29	3002299	megares
57	MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS	evgS	3000833	megares
58	MEG_2198|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-202	3005625	megares
59	MEG_3950|Drugs|betalactams|Class_C_betalactamases|MIR	MIR-21	3006861	megares
60	MEG_3650|Drugs|betalactams|Class_A_betalactamases|LUT	LUT-4	3006946	megares
61	MEG_4134|Drugs|betalactams|Class_B_betalactamases|NDM	NDM-21	3004864	megares
62	MEG_2158|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-172	3005595	megares
63	MEG_637|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-17	3003861	megares
64	MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC	TolC	3000237	megares
65	MEG_1897|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-60	3002073	megares
66	MEG_6473|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-30	3001088	megares
67	MEG_1248|Drugs|betalactams|Class_A_betalactamases|BLAA	y56 beta-lactamase	3003558	megares
68	MEG_3196|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation			megares
69	MEG_2275|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-50	3001912	megares
70	MEG_5311|Drugs|betalactams|Class_A_betalactamases|OXY	OXY-1-2	3002390	megares
71	MEG_1613|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation	catB3	3002676	megares
72	MEG_343|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib10	3002581	megares
73	MEG_6481|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-1	3001059	megares
74	MEG_520|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-138	3006313	megares
75	MEG_4526|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-811	3006011	megares
76	MEG_6074|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTH	rmtH	3003198	megares
77	MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC(3)-IIIa	3002536	megares
78	MEG_5955|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB26	3002741	megares
79	MEG_5171|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-15	3001410	megares
80	MEG_7062|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC	tet(C)	3000167	megares
81	MEG_875|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3	3002603	megares
82	MEG_5113|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-439	3003595	megares
83	MEG_5038|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-327	3001515	megares
84	MEG_5741|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-90	3004353	megares
85	MEG_1484|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADA	smeB	3003052	megares
86	MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation	arlR	3000838	megares
87	MEG_6020|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS	QnrS1	3002790	megares
88	MEG_2174|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-213	3005636	megares
89	MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA	marA	3000263	megares
90	MEG_2211|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-222	3005645	megares
91	MEG_7113|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	tetM	3000186	megares
92	MEG_3165|Drugs|betalactams|Class_B_betalactamases|GOB	GOB-48	3005696	megares
93	MEG_309|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-I30	3002588	megares
94	MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR	SHV-218	3005238	megares
95	MEG_3136|Drugs|betalactams|Class_A_betalactamases|GIL	GIL-1	3006888	megares
96	MEG_4635|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-184	3001476	megares
97	MEG_5403|Drugs|betalactams|Penicillin_binding_protein|PBP2	mecC	3001209	megares
98	MEG_6475|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-11	3001070	megares
99	MEG_4250|Drugs|betalactams|Class_A_betalactamases|OKP	OKP-A-8	3002425	megares
100	MEG_610|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-174	3006346	megares
101	MEG_6790|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-159	3001025	megares
102	MEG_5184|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-123	3001445	megares
103	MEG_7511|Drugs|Glycopeptides|VanE-type_regulator|VANSE	vanS gene in vanE cluster	3002935	megares
104	MEG_6808|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-187	3001047	megares
105	MEG_2666|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA	vanS gene in vanL cluster	3002938	megares
106	MEG_2838|Drugs|MLS|23S_rRNA_methyltransferases|ERMN	ErmN	3000592	megares
107	MEG_3532|Drugs|betalactams|Class_B_betalactamases|L1	AXC-3	3006899	megares
108	MEG_6493|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-85	3001139	megares
109	MEG_6493|Drugs|betalactams|Class_A_betalactamases|SHV	Escherichia coli mdfA	3001328	megares
110	MEG_2859|Drugs|MLS|23S_rRNA_methyltransferases|ERMX	tetA(58)	3003980	megares
111	MEG_2859|Drugs|MLS|23S_rRNA_methyltransferases|ERMX	DES-1	3004780	megares
112	MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6	APH(6)-Id	3002660	megares
113	MEG_5794|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|PMPM	PmpM	3004077	megares
114	MEG_937|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA8	3002608	megares
115	MEG_307|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-IIa	3002594	megares
116	MEG_1120|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|ARMA	armA	3000858	megares
117	MEG_5620|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-28	3005156	megares
118	MEG_7283|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_regulator|TROR	MexL	3003710	megares
119	MEG_5930|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB5	3002719	megares
120	MEG_536|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-51	3006431	megares
121	MEG_5888|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB20	3002735	megares
122	MEG_5775|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PFR	ErmQ	3000593	megares
123	MEG_6570|Drugs|betalactams|Class_C_betalactamases|SRT	SRT-1	3002493	megares
124	MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT	Escherichia coli mdfA	3001328	megares
125	MEG_662|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-61	3003879	megares
126	MEG_2059|Metals|Copper_resistance|Copper_resistance_protein|COPG	smeA	3003051	megares
127	MEG_6924|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-125	3000987	megares
128	MEG_7508|Drugs|Glycopeptides|VanD-type_regulator|VANSD	vanS gene in vanD cluster	3002934	megares
129	MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	mel	3000616	megares
130	MEG_4904|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-137	3001767	megares
131	MEG_5917|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB18	3002733	megares
132	MEG_6821|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-196	3001376	megares
133	MEG_6250|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-66	3001121	megares
134	MEG_6939|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-71	3000937	megares
135	MEG_5740|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-89	3004352	megares
136	MEG_846|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	ANT(3'')-IIa	3004089	megares
137	MEG_3697|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR	MCR-1.3	3004514	megares
138	MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR	TxR	3005008	megares
139	MEG_334|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ip	3002559	megares
140	MEG_7845|Metals|Zinc_resistance|Zinc_resistance_protein|ZEVA	PDC-173	3005306	megares
141	MEG_660|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-59	3004619	megares
142	MEG_1274|Drugs|betalactams|Class_B_betalactamases|BLAEAM	EAM-1	3006873	megares
143	MEG_3787|Drugs|betalactams|Penicillin_binding_protein|MECA	mecA	3000617	megares
144	MEG_6240|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-1	3001059	megares
145	MEG_5451|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-243	3006621	megares
146	MEG_7116|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	tetM	3000186	megares
147	MEG_457|Drugs|betalactams|Class_C_betalactamases|ACT	ACT-9	3001826	megares
148	MEG_236|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib9	3002580	megares
149	MEG_5467|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-98	3006851	megares
150	MEG_2157|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-218	3005641	megares
151	MEG_5707|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-228	3006607	megares
152	MEG_6411|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-71	3001125	megares
153	MEG_1926|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-102	3002114	megares
154	MEG_7058|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC	tet(C)	3000167	megares
155	MEG_5089|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-400	3001586	megares
156	MEG_6016|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRE	qnrE1	3004636	megares
157	MEG_5013|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-253	3001689	megares
158	MEG_3369|Drugs|betalactams|Class_B_betalactamases|IMP	IMP-24	3002215	megares
159	MEG_1065|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	APH(3')-VIa	3002652	megares
160	MEG_6378|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-159	3001198	megares
161	MEG_4580|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-639	3005860	megares
162	MEG_1881|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-46	3002057	megares
163	MEG_4606|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-486	3003643	megares
164	MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ii	3002556	megares
165	MEG_7196|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation			megares
166	MEG_1868|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-24	3002035	megares
167	MEG_2415|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-4	3001867	megares
168	MEG_5983|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB66	3002778	megares
169	MEG_578|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-153	3006327	megares
170	MEG_7825|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YFEC	mel	3000616	megares
171	MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR	TxR	3005008	megares
172	MEG_6972|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33	tet(33)	3000478	megares
173	MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG	MexG	3000806	megares
174	MEG_3528|Drugs|betalactams|Class_B_betalactamases|L1	L1 beta-lactamase	3000582	megares
175	MEG_438|Drugs|betalactams|Class_C_betalactamases|ACT	ACT-67	3006262	megares
176	MEG_5809|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|POXT	poxtA	3004470	megares
177	MEG_4800|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-260	3001716	megares
178	MEG_6001|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB41	3002756	megares
179	MEG_2105|Drugs|betalactams|Class_B_betalactamases|CPHA	cphA8	3003104	megares
180	MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT	tetT	3000193	megares
181	MEG_6711|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-79	3000946	megares
182	MEG_7850|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZIPB			megares
183	MEG_6527|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME	smeB	3003052	megares
184	MEG_5728|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-77	3004340	megares
185	MEG_2145|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-74	3001935	megares
186	MEG_2986|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	FosA3	3002872	megares
187	MEG_4472|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-685	3005892	megares
188	MEG_6899|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-116	3000979	megares
189	MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	APH(3'')-Ib	3002639	megares
190	MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM			megares
191	MEG_599|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-166	3006338	megares
192	MEG_2709|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBA|RequiresSNPConfirmation			megares
193	MEG_5505|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-174	3006553	megares
194	MEG_3391|Drugs|betalactams|Class_B_betalactamases|IMP	IMP-13	3002204	megares
195	MEG_7765|Drugs|betalactams|Class_B_betalactamases|VIM	VIM-11	3002281	megares
196	MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA16	3002616	megares
197	MEG_5232|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-378	3001564	megares
198	MEG_197|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Isa	3002563	megares
199	MEG_1072|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	APH(3')-VIIa	3002654	megares
200	MEG_2231|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-36	3001898	megares
201	MEG_838|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3	3002603	megares
202	MEG_1425|Drugs|betalactams|Class_A_betalactamases|BLAZ	PC1 beta-lactamase (blaZ)	3000621	megares
203	MEG_5215|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-136	3001765	megares
204	MEG_6660|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-26	3000896	megares
205	MEG_7798|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEU	cmeA	3000783	megares
206	MEG_5876|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA	QnrA3	3002709	megares
207	MEG_4525|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-657	3005872	megares
208	MEG_3456|Drugs|betalactams|Class_A_betalactamases|KLUC	KLUC-3	3006929	megares
209	MEG_3174|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|GRM	sgm	3000862	megares
210	MEG_4344|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB	oqxB	3003923	megares
211	MEG_5589|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-271	3006646	megares
212	MEG_4267|Drugs|betalactams|Class_A_betalactamases|OKP	OKP-B-19	3002452	megares
213	MEG_6474|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-5	3001064	megares
214	MEG_4725|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-114l	3005712	megares
215	MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP	mdtP	3003550	megares
216	MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	tet(W/N/W)	3004442	megares
217	MEG_3665|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MCO	vanX gene in vanM cluster	3002953	megares
218	MEG_5024|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-346	3001534	megares
219	MEG_1330|Drugs|betalactams|Class_A_betalactamases|BLAZ	PC1 beta-lactamase (blaZ)	3000621	megares
220	MEG_345|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib10	3002581	megares
221	MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation			megares
222	MEG_3325|Drugs|betalactams|Class_B_betalactamases|IMP	IMP-73	3005478	megares
223	MEG_3932|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT|RequiresSNPConfirmation			megares
224	MEG_6890|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-105	3000968	megares
225	MEG_4154|Drugs|betalactams|Class_B_betalactamases|NDM	NDM-14	3003183	megares
226	MEG_6304|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-43	3001101	megares
227	MEG_3245|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation			megares
228	MEG_2511|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA	dfrA7	3002862	megares
229	MEG_5581|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-45	3005145	megares
230	MEG_3278|Metals|Copper_resistance|Copper_resistance_protein|HPCOPP	msrF	3005087	megares
231	MEG_2019|Metals|Copper_resistance|Copper_resistance_protein|COPA	OXY-2-15	3006130	megares
232	MEG_4238|Drugs|betalactams|Class_A_betalactamases|OKP	OKP-B-21	3006143	megares
233	MEG_4900|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-80	3001634	megares
234	MEG_3056|Drugs|betalactams|Class_A_betalactamases|FRI	FRI-6	3005029	megares
235	MEG_6678|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-210	3001387	megares
236	MEG_5476|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-242	3006620	megares
237	MEG_274|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-29b	3002584	megares
238	MEG_5423|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|PCOE	AAC(6')-Ib-cr1	3002547	megares
239	MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation			megares
240	MEG_3731|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR	MCR-9.1	3004684	megares
241	MEG_1678|Drugs|betalactams|Class_B_betalactamases|CFIA	CcrA	3000578	megares
242	MEG_6472|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-5	3001064	megares
243	MEG_455|Drugs|betalactams|Class_C_betalactamases|ACT	ACT-5	3001824	megares
244	MEG_222|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib-cr7	3005117	megares
245	MEG_3855|Metals|Mercury_resistance|Mercury_resistance_protein|MERB	FosK	3003207	megares
246	MEG_6865|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-135	3000999	megares
247	MEG_1735|Drugs|betalactams|Class_A_betalactamases|CME	CME-2	3006155	megares
248	MEG_3615|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	lnuF	3002839	megares
249	MEG_2843|Drugs|MLS|23S_rRNA_methyltransferases|ERMR	ErmR	3000594	megares
250	MEG_4660|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-597	3005818	megares
251	MEG_4143|Drugs|betalactams|Class_B_betalactamases|NDM	NDM-1	3000589	megares
252	MEG_4715|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-800	3006000	megares
253	MEG_7516|Drugs|Glycopeptides|VanM-type_regulator|VANSM	vanY gene in vanM cluster	3002961	megares
254	MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR	arr-3	3002848	megares
255	MEG_3705|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR	MCR-5.1	3004332	megares
