	Original ID	ARO Replacement	Gene Name in CARD
23	157688252|ABQ02443.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA	ehxA	ehxA
24	124106674|BAF45459.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
25	817048098|AKF16652.1|1|1|netF|netF||1|||necrotizing_enteritis_toxin_NetF	NetF	netF
26	290432|AAA23737.1|1|1|f17a|f17a||1|||F17A_fimbrial_adhesin	f17a	f17a
27	14579333|AAK69210.1|1|1|yopD|yopD||1|||type_III_secretion_system_translocon_subunit_YopD	YopD	yopD
28	3337077|BAA31836.1|1|1|espP|espP||1|||serine_protease_autotransporter_EspP	EspP	espP
29	374343613|BAL47181.1|1|1|alpha|alpha||1|ALPHA|INTIMIN|intimin_type_alpha	alpha	alpha
30	1437352259|SUK66413.1|1|1|sel30|sel30||1|||staphylococcal_enterotoxin_type_30	sel30	sel30
31	0|WP_001039998.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A1	3003938 	pbp1a
32	0|WP_001040004.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A3	3003938 	pbp1a
33	886953|CAA88252.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	sepA	sepA
34	73476899|AAZ76514.1|1|1|espP|espP||1|||serine_protease_autotransporter_EspP	espP	espP
35	354855825|EHF16298.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA	AggA	aggA
36	121308175|CAM11324.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	NleA	nleA
37	11527908|AAG37043.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC	EspC	espC
38	188998312|ACD67884.1|1|1|cpd|cpd||1|||beta-channel_forming_cytolysin_CPD	CPD	cpd
39	222708707|ACM67155.1|1|1|epsilon-8|epsilon-8||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-8	epsilon-8
40	83308567|CAI79539.1|1|1|eatA|eatA||1|||serine_protease_autotransporter_toxin_EatA	eatA	eatA
41	121308173|CAM11323.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	NleA	nleA
42	0|WP_000872273.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X10	3003938 	pbp2x
43	13183097|AAK15050.1|1|1|ttgR|ttgR||1|EFFLUX|EFFLUX|efflux_transport_transcriptional_regulator_TtgR	TtgR	ttgR
44	139003798|BAF52364.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
45	195182801|BAG66379.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
46	332312690|EGJ25785.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_Lm	arsB_Lm
47	0|WP_000872264.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X59	3003938 	pbp2x
48	215489834|CAS06720.1|1|1|gamma-2|gamma-2||1|THETA|INTIMIN|intimin_type_theta	gamma-2	gamma-2
49	139002545|BAF52034.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
50	297592330|ADI47068.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha	iha	iha
51	758303|CAA24957.1|1|1|sak|sak||1|||staphylokinase	sak	sak
52	281603818|ADA76801.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	sepA	sepA
53	26111414|AAN83596.1|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA	ireA	ireA
54	29895498|AAP08785.1|1|1|nheC|nheC||1|||non-hemolytic_enterotoxin_NHE_subunit_C	nheC	nheC
55	155345|AAA27588.1|1|1|arsB_pI258|arsB_pI258||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pl258	arsB_pI258
56	1232061|AAA92621.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
57	139003825|BAF52370.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
58	151858|AAA21095.1|1|1|arsB_R773|arsB_R773||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_R773	arsB_R773
59	215266044|CAS10463.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC	EspC	espC
60	760237700|AJP10339.1|1|1|tcdA|tcdA||1|||glycosylating_toxin_TcdA	TcdA	tcdA
61	100173075|ABF69121.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-2	epsilon-2
62	0|WP_050078510.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A11	3003938 	pbp1a
63	1061414|AAB09624.1|1|1|arsR_R46|arsR_R46||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_R46	arsR_R46
64	0|WP_001040010.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A2	3003938 	pbp1a
65	260213855|CBE05858.1|1|1|bin_CdtB|bin_CdtB||1|||ADP-ribosylating_binary_toxin_binding_subunit_CdtB	bin_Ctdb	bin_CdtB
66	144928|AAA72120.1|1|1|cpe|cpe||1|||enterotoxin_CPE	cpe	cpe
67	380248692|CBW53086.1|1|1|iha|iha||1|||bifunctional_siderophore_receptor/adhesin_Iha	iha	iha
68	619130|CAA58527.1|1|1|pcoC|pcoC||1|COPPER|COPPER|copper_resistance_system_metallochaperone_PcoC	pcoC	pcoC
69	15723940|AAL06387.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF	espF	espF
70	6470209|AAF13663.1|1|1|capB|capB||1|||capsule_biosynthesis_protein_CapB	capB	capB
71	157688250|ABQ02442.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA	ehxA	ehxA
72	121308155|CAM11314.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	NleA	nleA
73	47600653|CAE55775.1|1|1|sat_auto|sat_auto||1|||serine_protease_autotransporter_toxin_Sat	sat_auto	sat_auto
74	155344|AAA27587.1|1|1|arsR_pSX267|arsR_pSX267||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_pSX267	arsR_pSX267
75	325048862|BAJ79295.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA	aafA	aafA
76	1088258|AAA98293.1|1|1|terE|terE||1|TELLURIUM|TELLURIUM|tellurium_resistance_cAMP_binding_protein_TerE	terE	terE
77	4335916|AAD17515.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
78	139002548|BAF52035.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
79	257766024|BAI37519.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF	espF	espF
80	1545992|AAB42204.1|1|1|arsB_pYV|arsB_pYV||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pYV	arsB_pYV
81	392336448|AFM70730.1|1|1|copB_Ehir|copB_Ehir||1|COPPER/SILVER|COPPER/SILVER|copper/silver-translocating_P-type_ATPase_CopB	copB_Ehir	copB_Ehir
82	16417609|AAL18821.1|1|1|epeA|epeA||1|||serine_protease_autotransporter_EpeA	epeA	epeA
83	389595513|AFK88558.1|1|1|sat_auto|sat_auto||1|||serine_protease_autotransporter_toxin_Sat	sat_auto	sat_auto
84	4335914|AAD17514.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
85	13811426|AAK40114.1|1|1|hreP|hreP||1|||subtilisin/kexin-like_serine_protease_HreP	HreP	hreP
86	115500654|BAF33885.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	SepA	sepA
87	997194215|CXT91862.1|1|1|sel33|sel33||1|||staphylococcal_enterotoxin_type_33	sel33	sel33
88	5532286|AAD44693.1|1|1|mtrA_Ngon|mtrA_Ngon||1|EFFLUX|EFFLUX|efflux_transporter_MtrCDE_transcriptional_activator_MtrA	3000816	mtrA_Ngon
89	25987939|AAN76093.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
90	1753231480|KAA9473339.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_Lm	arsB_Lm
91	260279121|BAI44131.1|1|1|agg5A|agg5A||1|||aggregative_adherence_fimbria_V_major_subunit_Agg5A	agg5A	agg5A
92	531398|AAA57452.1|1|1|aggC|aggC||1|||aggregative_adherence_fimbria_I_usher_protein_AggC	aggC	aggC
93	100173077|ABF69122.1|1|1|alpha-5|alpha-5||1|NU|INTIMIN|intimin_type_nu	alpha-5	alpha-5
94	152520|AAA26403.1|1|1|klaC|klaC||1|TELLURIUM|TELLURIUM|tellurium_resistance_system_protein_klaC	klaC	klaC
95	0|WP_001040013.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A0	3003938 	pbp1a
96	534988|CAA85366.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A	stxA1a	stxA1a
97	0|WP_000872267.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X2	3003938 	pbp2x
98	3417251|CAA12346.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	espA
99	282950079|CBG89712.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	espA
100	6687466|CAB64953.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A	stxA2f	stxA2f
101	147096|AAA24293.1|1|1|papG-II|papG-II||1|||P_fimbria_tip_G-adhesin_PapG-II	papG-II	papG-II
102	143192|AAA83978.1|1|1|merB1|merB1||1|ORGANOMERCURY|MERCURY|organomercurial_lyase_MerB1	merB1	merB1
103	148750667|ABR09934.1|1|1|stxA2c|stxA2c||1|STX2C|STX2|Shiga_toxin_Stx2c_subunit_A	stxA2c	stxA2c
104	374343133|BAL46941.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-2	epsilon-2
105	1212330125|ASF80771.1|1|1|LHR_hsp20B|LHR_hsp20B||1|||small_heat_shock_protein_sHSP20-GI	LHR_hsp20B	LHR_hsp20B
106	295060061|ADF64798.1|1|1|ncrC|ncrC||1|COPPER/NICKEL|COPPER/NICKEL|Ni(II)/Co(II)_efflux_transporter_permease_subunit_NcrC	ncrC	ncrC
107	21636536|AAM70045.1|1|1|stxA2a|stxA2a||1|STX2A|STX2|Shiga_toxin_Stx2a_subunit_A	stxA2a	stxA2a
108	139003804|BAF52365.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
109	545581792|AGW33874.1|1|1|lukS-PV|lukS-PV||1|||Panton-Valentine_bi-component_leukocidin_subunit_S	lukS-PV	lukS-PV
110	29896770|AAP10048.1|1|1|hblC|hblC||1|||hemolytic_enterotoxin_HBL_lytic_component_L2	hblC	hblC
111	222708713|ACM67158.1|1|1|epsilon-6|epsilon-6||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-6	epsilon-6
112	222708719|ACM67161.1|1|1|beta-2|beta-2||1|BETA|INTIMIN|intimin_type_beta	beta-2	beta-2
113	755408432|AJJ21446.1|1|1|yopM|yopM||1|||type_III_secretion_system_effector_YopM	yopM	yopM
114	1433476833|RCV70079.1|1|1|lukE|lukE||1|||bi-component_leukocidin_LukED_subunit_E	lukE	lukE
115	1764164|AAC44731.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC	espC	espC
116	124106636|BAF45440.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
117	22003413|AAM88668.1|1|1|cueA|cueA||1|COPPER|COPPER|copper_resistance_metal-translocating_P1-type_ATPase_CueA	cueA	cueA
118	4324356|AAD16833.1|1|1|virF_Yersin|virF_Yersin||1|||virulence_regulon_transcriptional_activator_VirF	virF_Yersin	virF_Yersin
119	222708703|ACM67153.1|1|1|lambda-2|lambda-2||1|LAMBDA|INTIMIN|intimin_type_lambda	lambda-2	lambda-2
120	760237696|AJP10335.1|1|1|tcdR|tcdR||1|||glycosylating_toxin_sigma_factor_TcdR	tcdR	tcdR
121	325048858|BAJ79293.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA	aafA	aafA
122	124106650|BAF45447.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
123	374343609|BAL47179.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-2	epsilon-2
124	0|WP_054364452.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X12	3003938 	pbp2x
125	94480755|CAK02719.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1	cnf1	cnf1
126	146150132|ABQ02454.1|1|1|rho-1|rho-1||1|RHO|INTIMIN|intimin_type_rho	rho-1	rho-1
127	53850832|AAU95470.1|1|1|nleB|nleB||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB	nleB	nleB
128	13774144|BAB43874.1|1|1|cadD|cadD||1|CADMIUM|CADMIUM|cadmium_resistance_transporter_CadD	cadD	cadD
129	535625057|EQX61716.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA	aggA	aggA
130	57434439|CAI43856.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF	espF	espF
131	374343131|BAL46940.1|1|1|alpha|alpha||1|ALPHA|INTIMIN|intimin_type_alpha	alpha	alpha
132	18147064|BAB83020.1|1|1|stxA2g|stxA2g||1|STX2G|STX2|Shiga_toxin_Stx2g_subunit_A	stxA2g	stxA2g
133	332312691|EGJ25786.1|1|1|arsB_Lm|arsB_Lm||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_Lm	arsB_Lm
134	374343603|BAL47176.1|1|1|rho-2|rho-2||1|YPSILON|INTIMIN|intimin_type_ypsilon	rho-2	rho-2
135	26107524|AAN79707.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
136	164457634|BAF96541.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	nleA	nleA
137	218349792|CAQ87187.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
138	0|WP_050208712.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A12	3003938 	pbp1a
139	4335912|AAD17513.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
140	0|WP_000872275.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X3	3003938 	pbp2x
141	2159997|BAA20336.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP	MerP_Gneg	MerP_Gneg
142	0|WP_000872270.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X4	3003938 	pbp2x
143	42529|CAA43558.1|1|1|papG-III|papG-III||1|||P_fimbria_tip_G-adhesin_PapG-III	papG-III	papG-III
144	222708689|ACM67146.1|1|1|alpha-2|alpha-2||1|ALPHA|INTIMIN|intimin_type_alpha	alpha-2	alpha-2
145	62085734|AAX63259.1|1|1|fedF|fedF||1|||F18_fimbrial_adhesin_subunit_FedF	fedF	fedF
146	531400|AAA57454.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA	aggA	aggA
147	332312684|EGJ25779.1|1|1|arsD_like|arsD_like||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_metallochaperone_ArsD-related_protein	arsD_like	arsD_like
148	86753172|ABD14714.1|1|1|cesD|cesD||1|||cereulide_export_ABC_transporter_permease_subunit_CesD	cesD	cesD
149	284924615|CBG27798.1|1|1|aafD|aafD||1|||aggregative_adherence_fimbria_II_chaperone_AafD	aafD	aafD
150	155346|AAA27589.1|1|1|arsC_thio|arsC_thio||1|ARSENATE|ARSENIC|thioredoxin-dependent_arsenate_reductase	arsC_thio	arsC_thio
151	812239686|CNC65351.1|1|1|yadA|yadA||1|||trimeric_autotransporter_adhesin_YadA	yadA	yadA
152	192758587|ACF05260.1|1|1|agg4A|agg4A||1|||aggregative_adherence_fimbria_4_major_subunit_Agg4A/HdaA	agg4A	agg4A
153	139003810|BAF52366.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
154	224612960|CAQ77251.1|1|1|hlyA-alpha|hlyA-alpha||1|||RTX_toxin_hemolysin_HlyA	hlyA-alpha	hlyA-alpha
155	52854784|AAU88264.1|1|1|cdtB|cdtB||1|||cytolethal_distending_toxin_nuclease_subunit_CdtB	ctdB	cdtB
156	222708731|ACM67167.1|1|1|epsilon-6|epsilon-6||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-6	epsilon-6
157	139002755|BAF52033.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
158	50956507|AAT90756.1|1|1|tcbA|tcbA||1|||Tc_family_toxin_subunit_TcbA	tcbA	tcbA
159	0|WP_033707918.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X23	3003938 	pbp2x
160	157076729|ABV16438.1|1|1|eatA|eatA||1|||serine_protease_autotransporter_toxin_EatA	eatA	eatA
161	18147067|BAB83022.1|1|1|stxA1c|stxA1c||1|STX1C|STX1|Shiga_toxin_Stx1c_subunit_A	stxA1c	stxA1c
162	844574223|AKN09807.1|1|1|yopJ_gen|yopJ_gen||1|||YopJ/YopP_family_T3SS_effector_serine/threonine_acetyltransferase	yopJ_gen	yopJ_gen
163	0|NDR16747.1|1|1|sel28|sel28||1|||staphylococcal_enterotoxin_type_28	sel28	sel28
164	492333575|WP_005812825.1|1|1|nimJ|nimJ|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|nitroimidazole_resistance_protein_NimJ	3007112	nimJ
165	1159362952|OPH66324.1|1|1|lpfA1|lpfA1||1|||long_polar_fimbria_major_subunit_LpfA1	LpfA1	lpfA1
166	3372542|AAC78590.1|1|1|sej|sej||1|||staphylococcal_enterotoxin_type_J	sej	sej
167	196475602|ACG76368.1|1|1|arsP|arsP||1|ORGANOARSENIC|ARSENIC|organoarsenical_efflux_permease_ArsP	arsP	arsP
168	139003812|BAF52367.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
169	2765303|CAA73667.1|1|1|lukE|lukE||1|||bi-component_leukocidin_LukED_subunit_E	lukE	lukE
170	170518859|ACB17037.1|1|1|air|air||1|||inverse_autotransporter_adhesin_EaeX/Air	air	air
171	13310561|AAK18385.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	sepA	sepA
172	2765304|CAA73668.1|1|1|lukD|lukD||1|||bi-component_leukocidin_LukED_subunit_D	lukD	lukD
173	414655|CAA51960.1|1|1|ibp|ibp||1|||ADP-ribosylating_binary_toxin_iota_binding_subunit_Ib	ibp	ibp
174	81240477|ABB61187.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
175	16419559|AAL19978.1|1|1|sodC1|sodC1||1|||superoxide_dismutase_[Cu-Zn]_SodC1	sodC1	sodC1
176	18462537|AAL72309.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA	sepA	sepA
177	356484913|AET12008.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	nleA	nleA
178	254939479|BAH86759.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A	stxA2f	stxA2f
179	2865304|AAC38396.1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB	espB	espB
180	674651835|CDY80020.1|1|1|LHR_hsp20A|LHR_hsp20A||1|||small_heat_shock_protein_sHSP20	LHR_hsp20A	LHR_hsp20A
181	238549598|BAH65949.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
182	218428762|CAR09703.2|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA	ireA	ireA
183	150729|AAA25638.1|1|1|arsC_thio|arsC_thio||1|ARSENATE|ARSENIC|thioredoxin-dependent_arsenate_reductase	arsC_thio	arsC_thio
184	13701623|BAB42916.1|1|1|seo|seo||1|||staphylococcal_enterotoxin_type_O	seo	seo
185	85676543|BAE77793.1|1|1|arsR_K-12|arsR_K-12||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	arsR_K-12	arsR_K-12
186	356484840|AET11941.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	nleA	nleA
187	991872253|AMG40538.1|1|1|sel|sel||1|||staphylococcal_enterotoxin_type_L	sel	sel
188	51949833|AAU14850.1|1|1|cpb2|cpb2||1|||beta-2_toxin_CPB2	cpb2	cpb2
189	438189|CAA81047.1|1|1|mtrR|mtrR|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_system_transcriptional_repressor_MtrR	3000817	mtrR
190	222708709|ACM67156.1|1|1|epsilon-8|epsilon-8||1|EPSILON|INTIMIN|intimin_type_epsilon	epsilon-8	epsilon-8
191	390980685|AFM31243.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
192	222708705|ACM67154.1|1|1|gamma-6|gamma-6||1|GAMMA|INTIMIN|intimin_type_gamma	gamma-6	gamma-6
193	3513658|AAC33908.1|1|1|merC|merC||1|ORGANOMERCURY|MERCURY|organomercurial_transporter_MerC	merC	merC
194	215489836|CAS06721.1|1|1|alpha-6|alpha-6||1|ZETA|INTIMIN|intimin_type_zeta	alpha-6	alpha-6
195	139003779|BAF52358.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
196	139003796|BAF52363.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
197	371976459|EHO93748.1|1|1|aur|aur||1|||zinc_metalloproteinase_aureolysin	aur	aur
198	0|WP_054370471.1|1|1|pbp1a|pbp1a|susceptible|2|||penicillin-binding_protein_PBP1A9	3003938 	pbp1a
199	1035517479|BAA82061.2|1|1|merB1|merB1||1|ORGANOMERCURY|MERCURY|organomercurial_lyase_MerB1	merB1	merB1
200	2947088|AAC38232.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP	MerP_Gneg	MerP_Gneg
201	124106634|BAF45439.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
202	290430|AAA23736.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
203	472420551|EMS03085.1|1|1|aggA|aggA||1|||aggregative_adherence_fimbria_I_major_subunit_AggA	aggA	aggA
204	663201|CAA54115.1|1|1|nfaE|nfaE||1|||Dr_family_non-fimbrial_adhesin_I_chaperone_NfaE	Nfae	nfaE
205	38194523|AAR13270.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN	iroN	iroN
206	871816|AAA69514.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
207	302333605|ADL23798.1|1|1|scn|scn||1|||complement_inhibitor_SCIN-A	scn	scn
208	215489840|CAS06723.1|1|1|alpha-6|alpha-6||1|ZETA|INTIMIN|intimin_type_zeta	aplha-6	alpha-6
209	218434398|CAR15326.1|1|1|air|air||1|||inverse_autotransporter_adhesin_EaeX/Air	air	air
210	195957566|ACG59676.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	espA
211	221361465|CAX18635.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF	espF	espF
212	3095184|AAC26634.1|1|1|pet|pet||1|||serine_protease_autotransporter_toxin_Pet	pet	pet
213	821787072|KLB41245.1|1|1|copL|copL||1|COPPER|COPPER|transcriptional_regulator_CopL	copL	copL
