Original ID	ARO	Cut_Off	Database
MEG_1349|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1350|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1351|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1352|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1353|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1354|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1356|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1357|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1358|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1359|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1361|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1362|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1363|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1367|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1368|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1369|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1370|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1371|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1372|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1373|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1374|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1375|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1376|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1377|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1378|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1379|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1380|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1381|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1382|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1383|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1384|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1385|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1387|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1388|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1389|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1390|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1391|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1392|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1393|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1394|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1395|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1396|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1397|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1398|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1399|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1400|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1401|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1402|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1403|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1404|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1405|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1406|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1407|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1408|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1409|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1411|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1412|Drugs|betalactams|Class_A_betalactamases|BLAZ	3007101	Strict	megares
MEG_1413|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1414|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1415|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Loose	megares
MEG_1416|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1417|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1418|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1419|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1420|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1421|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1422|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1423|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1424|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1425|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1426|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1427|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1428|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1429|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1430|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1431|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1432|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1433|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1434|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1435|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1436|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1437|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1438|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1439|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1440|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1441|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1442|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1443|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1444|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1445|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1446|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1447|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1449|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1450|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1451|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1452|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1453|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1454|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1455|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1456|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR	3005023	Loose	megares
MEG_1773|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA	3002693	Loose	megares
MEG_1779|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|CMR	3007838	Loose	megares
MEG_2000|Drugs|betalactams|Class_C_betalactamases|CMY	3002013	Strict	megares
MEG_2001|Drugs|betalactams|Class_C_betalactamases|CMY	3005195	Perfect	megares
MEG_2436|Drugs|betalactams|Class_A_betalactamases|CTX	3001877	Perfect	megares
MEG_2437|Drugs|betalactams|Class_A_betalactamases|CTX	3001970	Perfect	megares
MEG_2438|Drugs|betalactams|Class_A_betalactamases|CTX	3005629	Perfect	megares
MEG_2570|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB	3003022	Perfect	megares
MEG_2571|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB	3005350	Strict	megares
MEG_2613|Drugs|betalactams|Class_C_betalactamases|DHA	3002145	Perfect	megares
MEG_2806|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	3000375	Strict	megares
MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB	3000375	Strict	megares
MEG_2853|Drugs|MLS|23S_rRNA_methyltransferases|ERMV	3002824	Perfect	megares
MEG_2865|Drugs|Phenicol|Chloramphenicol_hydrolase|ESTD	3000557	Manual Curation	megares
MEG_2906|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FEXB	3007019	Perfect	megares
MEG_2932|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|FMRO	3000858	Loose	megares
MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB	3000449	Perfect	megares
MEG_2998|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	3003209	Strict	megares
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	3004111	Perfect	megares
MEG_3003|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	3003210	Perfect	megares
MEG_3020|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSE	3007370	Strict	megares
MEG_3173|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|GRM	3000862	Loose	megares
MEG_3174|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|GRM	3000862	Loose	megares
MEG_3398|Drugs|betalactams|Class_B_betalactamases|IMP	3002197	Perfect	megares
MEG_3399|Drugs|betalactams|Class_B_betalactamases|IMP	3002200	Perfect	megares
MEG_3444|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KAMB	3004102	Loose	megares
MEG_3450|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KGMB	3000862	Loose	megares
MEG_3459|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KMR	3002665	Loose	megares
MEG_3511|Drugs|betalactams|Class_A_betalactamases|KPC	3005357	Perfect	megares
MEG_3579|Drugs|betalactams|Class_A_betalactamases|LEN	3002460	Perfect	megares
MEG_3619|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF	3002879	Perfect	megares
MEG_3787|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Strict	megares
MEG_3788|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Strict	megares
MEG_3789|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Strict	megares
MEG_3790|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Loose	megares
MEG_3791|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Loose	megares
MEG_3792|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Loose	megares
MEG_3793|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Strict	megares
MEG_3794|Drugs|betalactams|Penicillin_binding_protein|MECA	3000617	Strict	megares
MEG_3799|Drugs|betalactams|Penicillin_binding_protein|MECC	3001209	Strict	megares
MEG_3800|Drugs|betalactams|Penicillin_binding_protein|MECC	3001209	Loose	megares
MEG_3826|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA	3000616	Loose	megares
MEG_4040|Drugs|MLS|Macrolide_phosphotransferases|MPHC	3000319	Strict	megares
MEG_4041|Drugs|MLS|Macrolide_phosphotransferases|MPHD	3000333	Manual Curation	megares
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN	3000318	Loose	megares
MEG_4186|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMF	3007108	Strict	megares
MEG_4187|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMH	3007110	Strict	megares
MEG_4305|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4306|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4307|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4308|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4309|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4310|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4311|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4312|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4313|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4315|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4316|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4317|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4318|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4319|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4320|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4321|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_4322|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Loose	megares
MEG_4323|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA	3003746	Strict	megares
MEG_5263|Drugs|betalactams|Class_D_betalactamases|OXA	3001709	Perfect	megares
MEG_5264|Drugs|betalactams|Class_D_betalactamases|OXA	3001478	Perfect	megares
MEG_5265|Drugs|betalactams|Class_D_betalactamases|OXA	3005343	Perfect	megares
MEG_5266|Drugs|betalactams|Class_D_betalactamases|OXA	3003643	Perfect	megares
MEG_5267|Drugs|betalactams|Class_D_betalactamases|OXA	3001416	Perfect	megares
MEG_5268|Drugs|betalactams|Class_D_betalactamases|OXA	3001409	Strict	megares
MEG_5269|Drugs|betalactams|Class_D_betalactamases|OXA	3003620	Strict	megares
MEG_5270|Drugs|betalactams|Class_D_betalactamases|OXA	3001744	Strict	megares
MEG_5271|Drugs|betalactams|Class_D_betalactamases|OXA	3001745	Perfect	megares
MEG_5272|Drugs|betalactams|Class_D_betalactamases|OXA	3005727	Perfect	megares
MEG_5273|Drugs|betalactams|Class_D_betalactamases|OXA	3005726	Perfect	megares
MEG_5274|Drugs|betalactams|Class_D_betalactamases|OXA	3001486	Perfect	megares
MEG_5275|Drugs|betalactams|Class_D_betalactamases|OXA	3001601	Perfect	megares
MEG_5276|Drugs|betalactams|Class_D_betalactamases|OXA	3001728	Perfect	megares
MEG_5277|Drugs|betalactams|Class_D_betalactamases|OXA	3008468	Strict	megares
MEG_5405|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation	3004185	Loose	megares
MEG_5877|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA	3002709	Strict	megares
MEG_6000|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002724	Strict	megares
MEG_6001|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002756	Strict	megares
MEG_6002|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002762	Perfect	megares
MEG_6003|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002762	Strict	megares
MEG_6004|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002760	Perfect	megares
MEG_6005|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002723	Perfect	megares
MEG_6006|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002758	Perfect	megares
MEG_6007|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002759	Perfect	megares
MEG_6008|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002720	Strict	megares
MEG_6009|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	3002732	Strict	megares
MEG_6952|Drugs|betalactams|Class_A_betalactamases|TEM	3000902	Perfect	megares
MEG_6990|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39	3000566	Loose	megares
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44	3000556	Strict	megares
MEG_7088|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ	3000177	Strict	megares
MEG_7147|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	3000192	Strict	megares
MEG_7148|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM	3000186	Strict	megares
MEG_7163|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Strict	megares
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3000190	Strict	megares
MEG_7165|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3000190	Strict	megares
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3000190	Strict	megares
MEG_7167|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007122	Strict	megares
MEG_7168|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Perfect	megares
MEG_7169|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Strict	megares
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Strict	megares
MEG_7171|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007119	Strict	megares
MEG_7172|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007122	Strict	megares
MEG_7173|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Strict	megares
MEG_7174|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Strict	megares
MEG_7175|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007123	Strict	megares
MEG_7176|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007121	Perfect	megares
MEG_7177|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	3007122	Strict	megares
MEG_7234|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	3007122	Strict	megares
MEG_7235|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	3007122	Strict	megares
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	3007122	Strict	megares
MEG_7237|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	3007122	Strict	megares
MEG_7344|Drugs|Glycopeptides|VanA-type_resistance_protein|VANA	3003970	Manual Curation	megares
MEG_7371|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7372|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7373|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7374|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7375|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7376|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7377|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7378|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7379|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000368	Strict	megares
MEG_7380|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7381|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7382|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC	3000246	Manual Curation	megares
MEG_7390|Drugs|Glycopeptides|VanE-type_resistance_protein|VANE	3000259	Manual Curation	megares
MEG_7391|Drugs|Glycopeptides|VanE-type_resistance_protein|VANE	3002907	Strict	megares
MEG_7396|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG	3000257	Manual Curation	megares
MEG_7397|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG	3000257	Manual Curation	megares
MEG_7408|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA	3000236	Manual Curation	megares
MEG_7409|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA	3000236	Manual Curation	megares
MEG_7410|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA	3000236	Manual Curation	megares
MEG_7411|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA	3000236	Manual Curation	megares
MEG_7412|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA	3000236	Manual Curation	megares
MEG_7417|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB	3000238	Manual Curation	megares
MEG_7418|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB	3000238	Manual Curation	megares
